SCHOOL_ID,HOUSE_ID
10012,16404
10012,16433
10012,16434
10012,16435
10012,16436
10012,16437
10012,16438
10012,16439
10012,16440
10012,16405
10012,16406
10012,16407
10012,16408
10012,16409
10012,16410
10012,16411
10012,16412
10012,16413
10012,16415
10012,16416
10012,16417
10012,16418
10012,16419
10012,16420
10012,16421
10012,16426
10012,16427
10012,16428
10013,24835
10013,24836
10013,24837
10013,24838
10013,24802
10013,24803
10013,24839
10013,24804
10013,24805
10013,24806
10013,24807
10013,24808
10013,24809
10013,24840
10013,24841
10013,24842
10013,24843
10013,24844
10013,24833
10013,24801
10013,24810
10013,24811
10013,24812
10013,24813
10013,24814
10013,24815
10013,24822
10013,24823
10013,24824
10013,24825
10013,24826
10013,24816
10013,24817
10013,24818
10013,24819
10013,24827
10013,24820
10013,24821
10013,24828
10013,24829
10013,24830
10013,24831
10013,24832
10014,16217
10014,16218
10014,16219
10014,16220
10014,16211
10014,16212
10014,16213
10014,16214
10014,16215
10014,16216
10014,16197
10014,16198
10014,16199
10014,16200
10014,16201
10014,16202
10014,16203
10014,16204
10014,16205
10014,16206
10014,16207
10014,16208
10014,16209
10014,16210
10014,16221
10014,16222
10015,14688
10015,15289
10015,15290
10015,15277
10015,14689
10015,15291
10015,15285
10015,14685
10015,14694
10015,14695
10015,14696
10015,14690
10015,15287
10015,14697
10015,14719
10015,15288
10015,14698
10015,14720
10015,15273
10015,14691
10015,14692
10015,14693
10015,14699
10015,14700
10015,14701
10015,14702
10015,15274
10015,15275
10015,15276
10015,15278
10015,14704
10015,14705
10015,14706
10015,14707
10015,14708
10015,14709
10015,15279
10015,14710
10015,15280
10015,14711
10015,14712
10015,14713
10015,14714
10015,14715
10015,15281
10015,14716
10015,15282
10015,14717
10015,14718
10015,15283
10015,15284
10015,15286
10056,14688
10056,15289
10056,15290
10056,15277
10056,14689
10056,15291
10056,15285
10056,14685
10056,14694
10056,14695
10056,14696
10056,14690
10056,15287
10056,14697
10056,14719
10056,15288
10056,14698
10056,14720
10056,15273
10056,14691
10056,14692
10056,14693
10056,14699
10056,14700
10056,14701
10056,14702
10056,15274
10056,15275
10056,15276
10056,15278
10056,14704
10056,14705
10056,14706
10056,14707
10056,14708
10056,14709
10056,15279
10056,14710
10056,15280
10056,14711
10056,14712
10056,14713
10056,14714
10056,14715
10056,15281
10056,14716
10056,15282
10056,14717
10056,14718
10056,15283
10056,15284
10056,15286
10029,14688
10029,15289
10029,15290
10029,15277
10029,14689
10029,15291
10029,15285
10029,14685
10029,14694
10029,14695
10029,14696
10029,14690
10029,15287
10029,14697
10029,14719
10029,15288
10029,14698
10029,14720
10029,15273
10029,14691
10029,14692
10029,14693
10029,14699
10029,14700
10029,14701
10029,14702
10029,15274
10029,15275
10029,15276
10029,15278
10029,14704
10029,14705
10029,14706
10029,14707
10029,14708
10029,14709
10029,15279
10029,14710
10029,15280
10029,14711
10029,14712
10029,14713
10029,14714
10029,14715
10029,15281
10029,14716
10029,15282
10029,14717
10029,14718
10029,15283
10029,15284
10029,15286
10020,14688
10020,15289
10020,15290
10020,15277
10020,14689
10020,15291
10020,15285
10020,14685
10020,14694
10020,14695
10020,14696
10020,14690
10020,15287
10020,14697
10020,14719
10020,15288
10020,14698
10020,14720
10020,15273
10020,14691
10020,14692
10020,14693
10020,14699
10020,14700
10020,14701
10020,14702
10020,15274
10020,15275
10020,15276
10020,15278
10020,14704
10020,14705
10020,14706
10020,14707
10020,14708
10020,14709
10020,15279
10020,14710
10020,15280
10020,14711
10020,14712
10020,14713
10020,14714
10020,14715
10020,15281
10020,14716
10020,15282
10020,14717
10020,14718
10020,15283
10020,15284
10020,15286
10016,8469
10016,8065
10016,8104
10016,8113
10016,8235
10016,8283
10016,8408
10016,8431
10016,8501
10016,8568
10016,8569
10016,8570
10016,8118
10016,8180
10016,8309
10016,8493
10016,7957
10016,8644
10016,7814
10016,7801
10016,7802
10016,8310
10016,8383
10016,8550
10016,8352
10016,8194
10016,7753
10016,8312
10016,8333
10016,7819
10016,8485
10016,8503
10016,8686
10016,8496
10016,8613
10016,8615
10016,7970
10016,8119
10016,7969
10016,8120
10016,8633
10016,8344
10016,8387
10016,7974
10016,7983
10016,7993
10016,8031
10016,8089
10016,8121
10016,8172
10016,8188
10016,8236
10016,8280
10016,7809
10016,8330
10016,8334
10016,8390
10016,8432
10016,8494
10016,8497
10016,7971
10016,8422
10016,8504
10016,8524
10016,8543
10016,8247
10016,8616
10016,8646
10016,8666
10016,7939
10016,7892
10016,8262
10016,7775
10016,8056
10016,7761
10016,7921
10016,7766
10016,8078
10016,8313
10016,7899
10016,8325
