"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1_2014","STEP1_2015","STEP2_2014","STEP2_2015","STEP3_2014","STEP3_2015","STUDENTS_2014","STUDENTS_2015","STUDENTS_PER_SCHOOL_2014","STUDENTS_PER_SCHOOL_2015","CATCHEMENT_AREA_STUDENTS"
173,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1383",1383,"http://sch1383.mskobr.ru/","школа","Северный административный округ","присоединение",2,538,527,566,588,141,134,1245,1249,622.5,624.5,603.442735
174,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №929",929,"http://sch929.mskobr.ru/","школа","Северный административный округ","присоединение",2,453,456,517,475,105,130,1075,1061,537.5,530.5,4486.167007
175,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1570",1570,"http://gym1570s.mskobr.ru/","гимназия","Северный административный округ","присоединение",2,289,300,330,320,95,85,714,705,357,352.5,2938.007698
176,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №717",717,"http://sch717s.mskobr.ru/","школа","Северный административный округ","присоединение",3,626,587,578,583,120,117,1324,1287,441.3333333333,429,582.631807
177,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1576",1576,"http://gym1576s.mskobr.ru/","гимназия","Северный административный округ","присоединение",6,1386,1412,1769,1801,424,420,3579,3633,596.5,605.5,4693.620943
178,"Государственное бюджетное образовательное учреждение города Москвы лицей №1550",1550,"http://lyc1550.mskobr.ru/","лицей","Северный административный округ","присоединение",2,131,106,269,277,212,201,612,584,306,292,2438.845422
179,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2098 имени Героя Советского Союза Л.М. Доватора",2098,"http://sch2098s.mskobr.ru/","школа","Северный административный округ","слияние",4,1346,1399,1391,1443,296,287,3033,3129,758.25,782.25,8928.503519
180,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2100",2100,"http://sch2100.mskobr.ru/","школа","Северный административный округ","слияние",3,691,725,697,741,126,153,1514,1619,504.6666666667,539.666666666667,3751.737768
181,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1794",1794,"http://sch1794s.mskobr.ru/","школа","Северный административный округ","слияние",5,848,847,1038,1027,238,232,2124,2106,424.8,421.2,10521.818652
182,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1590 имени Героя Советского Союза В.В. Колесника ",1590,"http://gym1590s.mskobr.ru/","гимназия","Северный административный округ","слияние",2,493,525,522,540,138,148,1153,1213,576.5,606.5,47.782538
183,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №771",771,"http://sch771s.mskobr.ru/","школа","Северный административный округ","слияние",3,662,690,666,668,146,160,1474,1518,491.3333333333,506,1381.463664
185,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №727",727,"http://sch727s.mskobr.ru/","школа","Северный административный округ","присоединение",1,0,0,0,0,0,0,0,0,0,0,1083.36149
186,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1159",1159,"http://sch1159s.mskobr.ru/","школа","Северный административный округ","слияние",2,444,469,537,528,105,103,1086,1100,543,550,871.962636
188,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1474",1474,"http://sch1474s.mskobr.ru/","школа","Северный административный округ","присоединение",5,1475,1491,1572,1640,329,354,3376,3485,675.2,697,1704.436562
189,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2099",2099,"http://sch2099.mskobr.ru/","школа","Северный административный округ","слияние",2,229,220,298,288,82,91,609,599,304.5,299.5,893.596231
190,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №158",158,"http://sch158s.mskobr.ru/","школа","Северный административный округ","присоединение",2,501,547,465,486,83,85,1049,1118,524.5,559,1516.049612
191,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №141",141,"http://sch141s.mskobr.ru/","школа","Северный административный округ","слияние",2,445,435,502,524,157,142,1104,1101,552,550.5,1463.833668
192,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №218",218,"http://sch218.mskobr.ru/","школа","Северный административный округ","слияние",1,370,377,402,429,129,133,901,939,901,939,179.952582
193,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1251 имени генерала Шарля де Голля",1251,"http://sch1251s.mskobr.ru/","школа","Северный административный округ","присоединение",3,651,678,787,827,205,208,1643,1713,547.6666666667,571,2581.825352
194,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №167 имени Маршала Л.А. Говорова",167,"http://sch167s.mskobr.ru/","школа","Северный административный округ","присоединение",2,519,533,596,669,133,195,1248,1397,624,698.5,3449.056475
195,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1250 ",1250,"http://sch1250s.mskobr.ru/","школа","Северный административный округ","присоединение",1,362,367,305,344,80,64,747,775,747,775,44.490181
197,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №597 ",597,"http://sch597s.mskobr.ru/","школа","Северный административный округ","присоединение",1,315,333,364,372,62,65,741,770,741,770,682.849264
198,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №224 ",224,"http://sch224s.mskobr.ru/","школа","Северный административный округ","присоединение",1,238,256,281,248,97,98,616,602,616,602,713.809811
