"ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","STUDENTS_2014","STUDENTS_2015","STUDENTS_2016","STUDENTS_PROJECT_CATCHMENT","STUDENTS_PROJECT_COMPLEX","STUDENTS_PROJECT_SNIP","DIST_TO_CENTER"
10985,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №638",638,"школа",FALSE,"124460, г. Москва, Зеленоград, корп. 913А","ЗелАО","Старое Крюково",796,,583,595,629,0,413,377,37243.3681144935
10986,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №616",616,"школа",FALSE,"124489, г. Москва, Зеленоград, корп.603 А","ЗелАО","Савёлки",805,,576,574,588,0,471,370,35831.8639710802
10987,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №854",854,"школа",FALSE,"124489, г. Москва, Зеленоград, корп.603 А","ЗелАО","Савёлки",805,383,576,574,588,941,471,352,36088.1749128339
10988,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №856",856,"школа",FALSE,"117208 г.Москва, Сумской пр, д .12, корп.6","ЮАО","Чертаново Северное",936,,616,627,661,984,984,982,13067.2473555547
10989,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №859",859,"школа",FALSE,"117535 г. Москва, ул. Дорожная д.22 А","ЮАО","Чертаново Южное",325,,453,457,472,1119,746,560,17165.1755190618
10990,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №86 имени М.Е. Катукова",86,"школа",FALSE,"123592, г. Москва, ул. Маршала Катукова, д. 12, к. 3","СЗАО","Строгино",95,354,467,498,564,1271,763,573,14880.5011191897
10991,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №129",129,"школа",FALSE,"123592, г. Москва, ул. Маршала Катукова, д. 12, к. 3","СЗАО","Строгино",95,,467,498,564,0,763,367,15165.3901093985
10992,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №862",862,"школа",FALSE,"117463, Москва,  ул. Голубинская, д. 23, корп. 3","ЮЗАО","Ясенево",580,,449,482,552,863,493,425,17925.2995000327
10993,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №863",863,"школа",FALSE,"117342, г.Москва, ул. Введенского, дом 27а","ЮЗАО","Коньково",557,237,635,645,666,718,718,513,14336.3968067999
10994,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №864",864,"школа",FALSE,"117588, г. Москва, Литовский бульвар, дом 6, корпус 2","ЮЗАО","Ясенево",586,,70,394,414,0,377,385,16977.125215924
10995,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №865",865,"школа",FALSE,"117321, г. Москва, улица Профсоюзная, дом 142, корпус 5","ЮЗАО","Тёплый Стан",571,396,622,641,653,0,841,790,15878.2658427796
10996,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №867",867,"школа",FALSE,"115612 г. Москва, ул.Ключевая, 6 корп.2","ЮАО","Братеево",375,,790,811,810,1413,565,667,15534.2851693267
10997,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №87",87,"школа",FALSE,"123100, г.Москва, ул.Николаева, д.5","ЦАО","Пресненский",49,,564,579,581,0,900,657,3259.5289247509
10998,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №501",501,"школа",FALSE,"115516 г. Москва, ул. Веселая, дом № 12","ЮАО","Царицыно",335,,487,487,503,0,636,836,14967.2822783364
10999,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №870",870,"школа",FALSE,"115516 г. Москва, ул. Веселая, дом № 12","ЮАО","Царицыно",335,221,487,487,503,1272,636,430,14670.6163154518
11000,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №871",871,"школа",FALSE,"115573 г.Москва, Ореховый б-р, д.35, к.3","ЮАО","Зябликово",852,,495,568,602,1148,811,895,16849.9849469767
11001,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №875",875,"школа",FALSE,"119526 г. Москва, проспект Вернадского, д. 101, корпус 5","ЗАО","Тропарёво-Никулино",731,,648,658,652,786,786,685,12808.9572359297
11002,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №878",878,"школа",FALSE,"115569 г. Москва, Шипиловский пр-д, д. 37, к. 2","ЮАО","Орехово-Борисово Северное",377,,511,514,528,1353,592,521,16324.6435126838
11003,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №880",880,"школа",FALSE,"117570 Москва, ул. Чертановская, д.44А","ЮАО","Чертаново Центральное",364,,520,522,542,3260,1630,1350,16155.4299102672
11004,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №882",882,"школа",FALSE,"125367, г. Москва, Врачебный проезд, д. 12","СЗАО","Покровское-Стрешнево",63,,632,683,744,1019,679,748,12112.5298126533
11005,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №885",885,"школа",FALSE,"127550, г. Москва, Дмитровское шоссе, д. 43, корп. 2","САО","Тимирязевский",174,,538,530,1203,1414,1414,835,9381.95222657938
11006,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №886",886,"школа",FALSE,"115583 г.Москва,ул.Елецкая,д.12,к.3","ЮАО","Орехово-Борисово Южное",361,,470,495,517,0,435,387,17731.979948132
11007,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №887",887,"школа",FALSE,"121467 г. Москва, ул. Молдавская, д. 6, корпус 2","ЗАО","Кунцево",763,339,593,602,614,768,855,757,11565.4442104079
11008,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №888",888,"школа",FALSE,"121374 г.Москва, ул. Ращупкина, д.3","ЗАО","Можайский",752,,465,465,465,1339,893,1015,11504.6328821392
