"ID","DRIVE_DURATION","DRIVE_DISTANCE"
"974","347","2419"
"975","397","2809"
"976","397","2808"
"977","376","2723"
"978","359","2437"
"979","381","2565"
"980","350","2471"
"981","352","2507"
"982","354","2321"
"983","362","2564"
"984","326","2236"
"985","320","2167"
"986","319","2162"
"987","360","2764"
"988","344","2229"
"989","366","2560"
"990","365","2548"
"991","377","2617"
"992","397","3043"
"993","373","2759"
"994","592","4400"
"995","605","4478"
"996","565","4337"
"997","551","4244"
"998","527","4055"
"999","570","4551"
"1000","519","4252"
"1001","475","3877"
"1002","491","3860"
"1003","485","3848"
"1004","511","4029"
"1005","528","4288"
"1006","496","3954"
"1007","503","4036"
"1008","470","3968"
"1009","479","4028"
"1010","477","3882"
"1011","473","3764"
"1012","495","4050"
"1013","482","3959"
"1014","420","3395"
"1015","406","3035"
"1016","414","3150"
"1017","427","3299"
"1018","420","3155"
"1019","444","3425"
"1020","435","3082"
"1021","428","3045"
"1022","412","3005"
"1023","388","2760"
"1024","409","2981"
"1025","383","2782"
"1026","434","2972"
"1027","422","2971"
"1028","411","2883"
"1029","384","2786"
"1030","394","2694"
"1031","393","2805"
"1032","415","2899"
"1033","370","2488"
"1034","384","2653"
"1035","384","2653"
"1036","391","2677"
"1037","390","2925"
"1038","589","4700"
"1039","582","4643"
"1040","593","4544"
"1041","608","4607"
"1042","596","4427"
"1043","581","4378"
"1044","598","4386"
"1045","585","4168"
"1046","567","4103"
"1047","557","3995"
"1048","539","3937"
"1049","520","3749"
"1050","533","3814"
"1051","515","3725"
"1052","520","3752"
"1053","523","3745"
"1054","529","3774"
"1055","548","4021"
"1056","508","3534"
"1057","539","3897"
"1058","535","3830"
"1059","542","3811"
"1060","556","3848"
"1061","460","4181"
"1062","413","3475"
"1063","467","4070"
"1064","468","3989"
"1065","486","4135"
"1066","412","3479"
"1067","466","3983"
"1068","444","3839"
"1069","454","3857"
"1070","466","3916"
"1071","437","3598"
"1072","434","3582"
"1073","420","3498"
"1074","444","3633"
"1075","419","3361"
"1076","398","3288"
"1077","410","3346"
"1078","413","3200"
"1079","467","4160"
"1080","464","4050"
"1081","528","4600"
"1082","452","4013"
"1083","447","3972"
"1084","494","4479"
"1085","536","4643"
"1086","534","4638"
"1087","542","4380"
"1088","455","3982"
"1089","441","3864"
"1090","438","3809"
"1091","429","3756"
"1092","297","1856"
"1093","307","1904"
"1094","297","1818"
"1095","286","1771"
"1096","299","1875"
"1097","309","1932"
"1098","296","1805"
"1099","325","1922"
"1100","283","1761"
"1101","317","1908"
"1102","280","1573"
"1103","302","1835"
"1104","280","1572"
"1105","481","3633"
"1106","491","3567"
"1107","467","3459"
"1108","472","3445"
"1109","488","3493"
"1110","462","3426"
"1111","446","3254"
"1112","458","3322"
"1113","446","3283"
"1114","491","3623"
"1115","443","3212"
"1116","465","3329"
"1117","447","3249"
"1118","458","3353"
"1119","494","3657"
"1120","461","3301"
"1121","490","3487"
"1122","488","3617"
"1123","502","3667"
"1124","497","3558"
"1125","524","3850"
"1126","487","3689"
"1127","496","3651"
"1128","484","3553"
"1129","491","3587"
"1130","448","3627"
"1131","459","3705"
"1132","480","3808"
"1133","411","3291"
"1134","405","3359"
"1135","381","3083"
"1136","385","3258"
"1137","388","3285"
"1138","345","2589"
"1139","339","2545"
"1140","408","3370"
"1141","408","3370"
"1142","423","3516"
"1143","396","3360"
"1144","327","2347"
"1145","333","2537"
"1146","318","2465"
"1147","370","3118"
"1148","417","3422"
"1149","397","3239"
"1150","312","2299"
"1151","385","3196"
"1152","393","3243"
"1153","399","3269"
