OBJECTID;ADDRESS;ID;POINT_X;POINT_Y
289;Москва, Курганская ул, д.8;289;37,819882;55,829426
290;Москва, Новосибирская ул, д.1, корп.1;290;37,820178;55,813131
291;Москва, Новосибирская ул, д.1, корп.2;291;37,819406;55,813106
292;Москва, Новосибирская ул, д.11;292;37,818768;55,816384
293;Москва, Новосибирская ул, д.3;293;37,819702;55,813905
294;Москва, Новосибирская ул, д.4;294;37,822748;55,813116
295;Москва, Новосибирская ул, д.5, корп.1;295;37,820205;55,81434
296;Москва, Новосибирская ул, д.5, корп.2;296;37,818472;55,814381
297;Москва, Новосибирская ул, д.6, корп.1;297;37,821867;55,814204
298;Москва, Новосибирская ул, д.6, корп.2;298;37,823206;55,814249
299;Москва, Новосибирская ул, д.8;299;37,821167;55,815752
300;Москва, Новосибирская ул, д.9, корп.1;300;37,81999;55,815655
301;Москва, Новосибирская ул, д.9, корп.2;301;37,819226;55,815625
302;Москва, Сахалинская ул, д.10/17;302;37,817349;55,829016
303;Москва, Сахалинская ул, д.11;303;37,81531;55,827277
304;Москва, Сахалинская ул, д.13/6, корп.1;304;37,816082;55,828015
305;Москва, Сахалинская ул, д.15/15;305;37,816064;55,828986
306;Москва, Сахалинская ул, д.4;306;37,817232;55,825052
307;Москва, Сахалинская ул, д.5, корп.1;307;37,815426;55,825406
308;Москва, Сахалинская ул, д.5, корп.2;308;37,81354;55,825315
309;Москва, Сахалинская ул, д.6, корп.1;309;37,817115;55,82665
310;Москва, Сахалинская ул, д.6, корп.2;310;37,818696;55,827348
311;Москва, Сахалинская ул, д.7, корп.1;311;37,815372;55,826245
312;Москва, Сахалинская ул, д.7, корп.2;312;37,81345;55,826731
313;Москва, Сиреневый бульв., д.37/40;313;37,805518;55,803444
314;Москва, Сиреневый бульв., д.39;314;37,806506;55,803469
315;Москва, Сиреневый бульв., д.41;315;37,807755;55,803479
316;Москва, Сиреневый бульв., д.43;316;37,808536;55,804471
317;Москва, Сиреневый бульв., д.43А;317;37,8085;55,803727
318;Москва, Сиреневый бульв., д.45;318;37,809309;55,803494
319;Москва, Сиреневый бульв., д.47;319;37,810629;55,803514
320;Москва, Сиреневый бульв., д.51;320;37,813639;55,803585
321;Москва, Сиреневый бульв., д.53;321;37,814429;55,803535
322;Москва, Сиреневый бульв., д.57;322;37,816352;55,803565
323;Москва, Сиреневый бульв., д.59;323;37,817151;55,803656
324;Москва, Сиреневый бульв., д.63;324;37,820339;55,80359
325;Москва, Сиреневый бульв., д.65, корп.1;325;37,821552;55,803555
326;Москва, Сиреневый бульв., д.65, корп.2;326;37,822307;55,804122
327;Москва, Сиреневый бульв., д.65, корп.3;327;37,822316;55,804511
328;Москва, Сиреневый бульв., д.65, корп.4;328;37,822307;55,804901
329;Москва, Сиреневый бульв., д.65, корп.5;329;37,82105;55,80484
330;Москва, Сиреневый бульв., д.66;330;37,831821;55,802862
331;Москва, Сиреневый бульв., д.67, корп.1;331;37,822775;55,803544
332;Москва, Сиреневый бульв., д.67, корп.2;332;37,823592;55,804283
333;Москва, Сиреневый бульв., д.69, корп.1;333;37,824688;55,803595
334;Москва, Сиреневый бульв., д.69, корп.2;334;37,825371;55,804157
335;Москва, Сиреневый бульв., д.69, корп.3;335;37,825362;55,804552
336;Москва, Сиреневый бульв., д.69, корп.4;336;37,825344;55,804941
337;Москва, Сиреневый бульв., д.69, корп.5;337;37,824122;55,80488
338;Москва, Сиреневый бульв., д.70;338;37,834848;55,802573
339;Москва, Сиреневый бульв., д.70, корп.1;339;37,83412;55,80183
340;Москва, Сиреневый бульв., д.71, корп.1;340;37,826583;55,803595
341;Москва, Сиреневый бульв., д.71, корп.2;341;37,826655;55,804349
342;Москва, Сиреневый бульв., д.72;342;37,835881;55,802953
343;Москва, Сиреневый бульв., д.72, корп.1;343;37,835081;55,802113
344;Москва, Сиреневый бульв., д.73, корп.1;344;37,827886;55,803626
345;Москва, Сиреневый бульв., д.73, корп.2;345;37,828039;55,804197
346;Москва, Сиреневый бульв., д.73, корп.3;346;37,827841;55,804855
347;Москва, Сиреневый бульв., д.75/33;347;37,829188;55,803626
348;Москва, Уральская ул, д.12/21;348;37,799086;55,817891
349;Москва, Уральская ул, д.4;349;37,80099;55,811756
350;Москва, Уральская ул, д.6, корп.1;350;37,799328;55,813723
351;Москва, Уральская ул, д.6, корп.2;351;37,800344;55,815458
352;Москва, Уральская ул, д.6, корп.3;352;37,800684;55,814983
353;Москва, Уральская ул, д.6, корп.4;353;37,800945;55,814426
354;Москва, Уральская ул, д.6, корп.5;354;37,801215;55,81388
355;Москва, Уральская ул, д.6, корп.6;355;37,801637;55,81346
356;Москва, Уральская ул, д.6, корп.7;356;37,802742;55,813486
357;Москва, Уральская ул, д.6, корп.8;357;37,801979;55,812469
358;Москва, Уральская ул, д.8;358;37,799418;55,815853
359;Москва, Уссурийская ул, д.1, корп.1;359;37,809515;55,82352
360;Москва, Уссурийская ул, д.1, корп.2;360;37,808878;55,825694
361;Москва, Уссурийская ул, д.1, корп.3;361;37,809174;55,824364
362;Москва, Уссурийская ул, д.1, корп.4;362;37,810324;55,824501
363;Москва, Уссурийская ул, д.1, корп.5;363;37,810836;55,82355
364;Москва, Уссурийская ул, д.10;364;37,816271;55,822726
365;Москва, Уссурийская ул, д.11, корп.1;365;37,820628;55,824779
366;Москва, Уссурийская ул, д.11, корп.1, стр.1;366;37,820843;55,825153
367;Москва, Уссурийская ул, д.11, корп.1, стр.2;367;37,820843;55,825153
368;Москва, Уссурийская ул, д.11, корп.2;368;37,820583;55,825608
369;Москва, Уссурийская ул, д.11, корп.3;369;37,82052;55,826438
370;Москва, Уссурийская ул, д.14;370;37,820295;55,822821
371;Москва, Уссурийская ул, д.16;371;37,821795;55,822261
372;Москва, Уссурийская ул, д.3, корп.1;372;37,814034;55,823803
373;Москва, Уссурийская ул, д.4;373;37,812973;55,82261
374;Москва, Уссурийская ул, д.5;374;37,812489;55,82489
375;Москва, Уссурийская ул, д.5, корп.1;375;37,814573;55,824405
376;Москва, Уссурийская ул, д.5, корп.2;376;37,812389;55,825603
377;Москва, Уссурийская ул, д.5, корп.3;377;37,812354;55,826382
378;Москва, Уссурийская ул, д.7;378;37,81769;55,823818
379;Москва, Уссурийская ул, д.8;379;37,814851;55,822382
380;Москва, Уссурийская ул, д.9;380;37,818965;55,823838
381;Москва, Хабаровская ул, д.1;381;37,826925;55,814366
382;Москва, Хабаровская ул, д.11/28;382;37,824454;55,819828
383;Москва, Хабаровская ул, д.17/13;383;37,822532;55,824071
384;Москва, Хабаровская ул, д.19, корп.1;384;37,824104;55,825082
385;Москва, Хабаровская ул, д.19, корп.2;385;37,822523;55,824723
386;Москва, Хабаровская ул, д.19, корп.3;386;37,821535;55,825386
387;Москва, Хабаровская ул, д.21;387;37,823125;55,82575
388;Москва, Хабаровская ул, д.23, корп.1;388;37,82396;55,82678
389;Москва, Хабаровская ул, д.23, корп.2;389;37,822406;55,826417
390;Москва, Хабаровская ул, д.23, корп.3;390;37,821418;55,82709
391;Москва, Хабаровская ул, д.25;391;37,822972;55,827449
392;Москва, Хабаровская ул, д.27;392;37,823861;55,828192
393;Москва, Хабаровская ул, д.29/25;393;37,824077;55,829163
394;Москва, Хабаровская ул, д.3;394;37,827437;55,815109
395;Москва, Хабаровская ул, д.5;395;37,827149;55,816242
396;Москва, Хабаровская ул, д.7/50;396;37,826206;55,817107
397;Москва, Хабаровская ул, д.9;397;37,825137;55,818923
398;Москва, Чусовская ул, д.1, стр.10;398;37,811689;55,812256
399;Москва, Чусовская ул, д.10, корп.1;399;37,812633;55,815504
400;Москва, Чусовская ул, д.10, корп.2;400;37,813396;55,815524
401;Москва, Чусовская ул, д.11, корп.1;401;37,811546;55,814603
402;Москва, Чусовская ул, д.11, корп.2;402;37,810198;55,81384
