OBJECTID;ADDRESS;settlement;street;building_n;geocoded;POINT_X;POINT_Y;ID;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1271;Москва, Ломоносовский пр-кт, д.3, корп.2; ; ; ;Россия, Москва, Ломоносовский проспект, 3к2;37.548708;55.684219;15311;647;0.000664;37.548843;55.68487
1272;Москва, Ломоносовский пр-кт, д.3, корп.3; ; ; ;Россия, Москва, Ломоносовский проспект, 3к3;37.548097;55.684498;15312;647;0.000833;37.548843;55.68487
1273;Москва, Ломоносовский пр-кт, д.3, корп.4; ; ; ;Россия, Москва, Ломоносовский проспект, 3к4;37.547521;55.684791;15313;647;0.001323;37.548843;55.68487
1274;Москва, Ломоносовский пр-кт, д.3А; ; ; ;Россия, Москва, Ломоносовский проспект, 3а;37.546057;55.683979;15314;647;0.002924;37.548843;55.68487
1275;Москва, Ломоносовский пр-кт, д.5; ; ; ;Россия, Москва, Ломоносовский проспект, 5;37.547926;55.685767;15315;647;0.001282;37.548843;55.68487
1276;Москва, Ломоносовский пр-кт, д.7, корп.1; ; ; ;Россия, Москва, Ломоносовский проспект, 7к1;37.546667;55.686649;15316;647;0.00281;37.548843;55.68487
1277;Москва, Ломоносовский пр-кт, д.7, корп.2; ; ; ;Россия, Москва, Ломоносовский проспект, 7к2;37.545706;55.68604;15317;647;0.003347;37.548843;55.68487
1278;Москва, Ломоносовский пр-кт, д.7, корп.3; ; ; ;Россия, Москва, Ломоносовский проспект, 7к3;37.546579;55.68575;15318;647;0.002429;37.548843;55.68487
1279;Москва, Ломоносовский пр-кт, д.7, корп.4; ; ; ;Россия, Москва, Ломоносовский проспект, 7к4;37.546147;55.685219;15319;647;0.002718;37.548843;55.68487
1280;Москва, Ломоносовский пр-кт, д.7, корп.5; ; ; ;Россия, Москва, Ломоносовский проспект, 7к5;37.54551;55.684594;15320;647;0.003344;37.548843;55.68487
1281;Москва, Панфёрова ул, д.11; ; ; ;Россия, Москва, улица Панферова, 11;37.546389;55.681731;15321;1037;0.002921;37.543565;55.680986
1282;Москва, Панфёрова ул, д.3; ; ; ;Россия, Москва, улица Панферова, 3;37.542418;55.683777;15322;1035;0.001805;37.54237;55.681972
1283;Москва, Панфёрова ул, д.5, корп.1; ; ; ;Россия, Москва, улица Панферова, 5к1;37.54364;55.683463;15323;1035;0.001959;37.54237;55.681972
1284;Москва, Панфёрова ул, д.5, корп.2; ; ; ;Россия, Москва, улица Панферова, 5к2;37.544432;55.684102;15324;1035;0.002964;37.54237;55.681972
1285;Москва, Панфёрова ул, д.7, корп.1; ; ; ;Россия, Москва, улица Панферова, 7к1;37.544881;55.683168;15325;1037;0.002548;37.543565;55.680986
1286;Москва, Панфёрова ул, д.7, корп.2; ; ; ;Россия, Москва, улица Панферова, 7к2;37.544243;55.682717;15326;1037;0.001859;37.543565;55.680986
1287;Москва, Панфёрова ул, д.9; ; ; ;Россия, Москва, улица Панферова, 9;37.545652;55.682508;15327;1037;0.002583;37.543565;55.680986
1288;Москва, Архитектора Власова ул, д.1; ; ; ;Россия, Москва, улица Архитектора Власова, 1;37.554932;55.680797;15328;1624;0.003918;37.554385;55.676918
1289;Москва, Архитектора Власова ул, д.11, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 11к1;37.552713;55.678661;15329;1624;0.002414;37.554385;55.676918
1290;Москва, Архитектора Власова ул, д.11, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 11к2;37.553873;55.678538;15330;1624;0.001699;37.554385;55.676918
1291;Москва, Архитектора Власова ул, д.11, корп.4; ; ; ;Россия, Москва, улица Архитектора Власова, 11к4;37.555758;55.677894;15331;1624;0.001685;37.554385;55.676918
1292;Москва, Архитектора Власова ул, д.13, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 13к1;37.552256;55.678255;15332;1624;0.002514;37.554385;55.676918
1293;Москва, Архитектора Власова ул, д.13, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 13к2;37.553432;55.678133;15333;1624;0.001543;37.554385;55.676918
1294;Москва, Архитектора Власова ул, д.13, корп.4; ; ; ;Россия, Москва, улица Архитектора Власова, 13к4;37.555301;55.677458;15334;1624;0.001063;37.554385;55.676918
1295;Москва, Архитектора Власова ул, д.15, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 15к1;37.553027;55.677736;15335;1624;0.001584;37.554385;55.676918
1296;Москва, Архитектора Власова ул, д.15, корп.3; ; ; ;Россия, Москва, улица Архитектора Власова, 15к3;37.552614;55.677351;15336;1624;0.001822;37.554385;55.676918
1297;Москва, Архитектора Власова ул, д.17; ; ; ;Россия, Москва, улица Архитектора Власова, 17;37.551312;55.677757;15337;1624;0.003184;37.554385;55.676918
1298;Москва, Архитектора Власова ул, д.17, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 17к1;37.551438;55.677071;15338;1624;0.002951;37.554385;55.676918
1299;Москва, Архитектора Власова ул, д.17, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 17к2;37.552741;55.676834;15339;1624;0.001646;37.554385;55.676918
