ID	ELEMENT_ID	ADDRESS
199	147	Москва, Трубниковский пер., д.23, стр.2
200	148	Москва, Малый Козловский пер., д.3
201	148	Москва, Малый Козловский пер., д.3А
202	148	Москва, ул. Садовая-Черногрязская, д.5/9
203	149	Москва, Ломоносовский просп., д.18
204	150	Москва, Лялин пер., д.12, стр.1
205	151	Москва, ул. Чаплыгина, д.9, стр.3
206	152	Москва, Большой Казённый пер., д.9
207	153	Москва, Фурманный пер., д.8
208	153	Москва, ул. Машкова, д.19
209	154	Москва, Казарменный пер., д.6, стр.5
210	154	Москва, Казарменный пер., д.10, стр.15
211	155	Москва, Подсосенский пер., д.26, стр.6
212	156	Москва, ул. Машкова, д.3А
213	156	Москва, ул. Машкова, д.20, стр.1
214	157	Москва, 1-й Кадашевский пер., д.3, стр.1
215	157	Москва, 1-й Кадашевский пер., д.3, стр.2
216	158	Москва, ул. Большая Ордынка, д.15
217	159	Москва, ул. Донская, д.21
218	160	Москва, Бродников пер., д.
219	161	Москва, ул. Пятницкая, д.54
220	162	Москва, ул. Большая Полянка, д.30, корп. 2
221	163	Москва, Мароновский пер., д.15, стр.1
222	164	Москва, ул. Пречистенка, д.12/2, стр.8
223	164	Москва, 1-й Неопалимовский пер., д.10, стр.10
224	165	Москва, Кропоткинский пер., д.10
225	166	Москва, Милютинский пер., д.18, стр.2
226	166	Москва, ул. Сретенка, д.20
227	167	Москва, ул. Большая Спасская, д.10, корп.1
228	168	Москва, ул. Садовая-Спасская, д.6, стр.2
229	168	Москва, ул. Садовая-Спасская, д.21/1
230	169	Москва, ул. 1-я Миусская, д.4
231	170	Москва, Старопименовсий пер., д.5
232	171	Москва, ул. 2-я Тверская-Ямская, д.46, стр.1
233	172	Москва, ул. Средняя Калитниковская, д.22, стр.1
234	173	Москва, ул. Талалихина, д.20, стр.1
235	173	Москва, ул. Талалихина, д.20, стр.1А
236	174	Москва, ул. Стройковская, д.5
237	175	Москва, ул. Талалихина, д.7
238	176	Москва, ул. Большая Калитниковская, д.32
239	177	Москва, Большой Кондратьевский пер., д.3
240	177	Москва, Средний Кондратьевский пер., д.8А
241	178	Москва, Большой Тишинский пер., д.39
242	179	Москва, Большой Кондратьевский пер., д.4, стр.1
243	180	Москва, Большой Кондратьевский пер., д.5
244	181	Москва, Большой Тишинский пер., д.26, корп.13-14
245	182	Москва, Новопресненский пер., д.6
