ID	COMPLEX_ID	ADDRESS
219	42	Москва, Бродников пер., д.3
220	42	Москва, ул. Пятницкая, д.54
221	42	Москва, ул. Большая Полянка, д.30, корп. 2
222	42	Москва, Мароновский пер., д.15, стр.1
223	43	Москва, ул. Пречистенка, д.12/2, стр.8
224	43	Москва, 1-й Неопалимовский пер., д.10, стр.10
225	43	Москва, Кропоткинский пер., д.10
226	44	Москва, Милютинский пер., д.18, стр.2
227	44	Москва, ул. Сретенка, д.20
228	44	Москва, ул. Большая Спасская, д.10, корп.1
229	44	Москва, ул. Садовая-Спасская, д.6, стр.2
230	44	Москва, ул. Садовая-Спасская, д.21/1
231	45	Москва, ул. 1-я Миусская, д.4
232	45	Москва, Старопименовсий пер., д.5
233	45	Москва, ул. 2-я Тверская-Ямская, д.46, стр.1
234	46	Москва, ул. Средняя Калитниковская, д.22, стр.1
235	46	Москва, ул. Талалихина, д.20, стр.1
236	46	Москва, ул. Талалихина, д.20, стр.1А
237	46	Москва, ул. Стройковская, д.5
238	46	Москва, ул. Талалихина, д.7
239	46	Москва, ул. Большая Калитниковская, д.32
240	47	Москва, Большой Кондратьевский пер., д.3
241	47	Москва, Средний Кондратьевский пер., д.8А
242	47	Москва, Большой Тишинский пер., д.39
243	47	Москва, Большой Кондратьевский пер., д.4, стр.1
244	47	Москва, Большой Кондратьевский пер., д.5
245	47	Москва, Большой Тишинский пер., д.26, корп.13-14
246	47	Москва, Новопресненский пер., д.6
247	47	Москва, ул. Малая Грузинская, д.16
248	47	Москва, Зоологический пер., д.10
249	47	Москва, Зоологический пер., д.10
250	47	Москва, ул. Пресненский Вал, д.4/29
251	47	Москва, ул. Пресненский Вал, д.4/29
252	47	Москва, ул. 1905 года, д.4
253	48	Москва, Елоховский пр., д.1, стр.5
254	48	Москва, Елоховский пр., д.1, стр.1
255	48	Москва, Елоховский пр., д.1, стр.6
256	48	Москва, ул. Новорязанская, д.31/7, стр.6
257	48	Москва, ул. Нижняя Краносельская, д.41А
258	48	Москва, ул. Бауманская, д.40
259	48	Москва, 2-й Новый пер., д.4
260	48	Москва, ул. Ольховская, д.43
261	48	Москва, Хомутовский туп., д.10, стр.1
262	48	Москва, Хомутовский туп., д.10, стр.1
263	49	Москва, Большой Трехгорный пер. д.3
264	49	Москва, ул. Николаева, д.5
265	49	Москва, Большой Предтеченский пер., д.24
266	49	Москва, Шмитовский пр., д.20
267	49	Москва, Большой Трёхгорный пер., д.8
268	49	Москва, Глубокий пер., д.3
269	49	Москва, Верхний Предтеченский пер., д.10
270	49	Москва, ул. Красная Пресня, д.9, стр.2
