"ID","OKRUG","TYPE","NAME","SHORT_NAME"
116,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2447",
117,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение ","Сокращенное наименование: ГБОУ гимназия № 1358"
118,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1190","Сокращенное наименование: ГБОУ СОШ № 1190"
119,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи ","Сокращенное наименование: ГБОУ ДТДМ"
120,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения «Северо-Запад» ","Сокращенное название: ГБОУ ЦПМСС «Северо-Запад»"
121,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2097","Сокращенное наименование: ГБОУ СОШ № 2097"
122,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138 ","Сокращенное наименование: ГБОУ СОШ № 138"
123,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1056","Сокращенное наименование: ГБОУ СОШ № 1056"
124,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519","Сокращенное наименование: ГБОУ гимназия № 1519"
125,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №69 имени Б.Ш. Окуджавы","Сокращенное наименование: ГБОУ СОШ №69 имени Б.Ш. Окуджавы"
126,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1191","Сокращенное наименование: ГБОУ СОШ № 1191"
127,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 883","Сокращенное наименование: ГБОУ СОШ № 883"
128,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 705","Сокращенное наименование: ГБОУ СОШ № 705"
129,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1089 «Коллаж» ","Сокращенное наименование: ГБОУ СОШ № 1089 «Коллаж»"
130,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1515","Сокращенное наименование: ГБОУ гимназия № 1515"
131,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы лицей № 1571","Сокращенное наименование: ГБОУ лицей № 1571"
