OBJECTID;ID;NAME;NUMB;TYPE;CURRENT_USE;ADDRESS;OKRUG;RAYON;COMPLEX_ID
913;718;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №596;596;школа;средняя школа;125413, г. Москва, улица Флотская, дом 64;САО;Головинский;169
914;719;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №597;597;школа;;125502,  г. Москва, Петрозаводская ул., д. 19 А;САО;Ховрино;197
915;720;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №598;598;школа;средняя школа;119602 г.Москва, ул. Академика Анохина, д.36;ЗАО;Тропарёво-Никулино;720
1125;721;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №601;601;школа;;125319, г. Москва, ул. Академика Ильюшина, д. 8;САО;Аэропорт;209
916;722;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №602;602;школа;средняя школа;124575, г. Москва, Зеленоград, корп. 1017;ЗелАО;Силино;807
1126;723;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №603 имени Героя Советского Союза Н.И. Кузнецова;603;школа;;125130 г. Москва, ул. Зои и Александра Космодемьянских, дом 33;САО;Коптево;872
919;724;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №604;604;школа;;124498, г. Москва, Зеленоград, корп. 222А;ЗелАО;Матушкино;811
924;725;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №609;609;школа;;124482, г. Москва, Зеленоград, корп. 314;ЗелАО;Савёлки;801
926;726;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №61;61;школа;;121471 г. Москва, ул. Рябиновая, д.8, корп.2;ЗАО;Можайский;762
927;727;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №613;613;школа;;105062 г.Москва,ул.Чаплыгина, д.9, стр.3;ЦАО;Басманный;41
928;728;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1710;1710;школа;начальная школа;124498, г. Москва, Зеленоград, корп. 429А;ЗелАО;Матушкино;811
929;728;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №618;618;школа;средняя школа;124498, г. Москва, Зеленоград, корп. 429А;ЗелАО;Матушкино;811
1127;729;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №619;619;школа;;105215, г. Москва, 5-я Парковая ул., д. 62;ВАО;Северное Измайлово;692
933;730;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №623;623;школа;1 - 6 классы;109378, г. Москва, Волгоградский проспект, дом 157, корпус 4;ЮВАО;Кузьминки;456
932;730;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №394;394;школа;7 - 11 классы;109378, г. Москва, Волгоградский проспект, дом 157, корпус 4;ЮВАО;Кузьминки;456
