"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING"
302;10388,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1801";1801,000000;"прогимназия";"начальная школа";"FALSE";"117647, г. Москва, ул. Академика Капицы, д. 14 А";"ЮЗАО";"Коньково";590,000000;0,000000
303;10389,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1104";1104,000000;"школа";"начальная школа";"FALSE";"117647, г. Москва, ул. Академика Капицы, д. 14 А";"ЮЗАО";"Коньково";590,000000;0,000000
304;10392,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1108";1108,000000;"школа";"";"FALSE";"117593, г.Москва, Соловьиный проезд, дом 16, корп. 2";"ЮЗАО";"Ясенево";579,000000;0,000000
305;10393,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1112 имени Героя Советского Союза В.В. Колесника";1112,000000;"школа";"средняя школа";"FALSE";"125502, г. Москва, ул. Фестивальная, дом 69";"САО";"Ховрино";182,000000;0,000000
306;10395,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №696";696,000000;"школа";"средняя школа";"FALSE";"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"ЗАО";"Филёвский Парк";701,000000;0,000000
307;10394,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1114";1114,000000;"школа";"начальная школа";"FALSE";"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"ЗАО";"Филёвский Парк";701,000000;191,000000
308;10396,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1117";1117,000000;"школа";"";"FALSE";"119361 г.Москва, ул.Озерная, д. 27, корпус 2";"ЗАО";"Очаково-Матвеевское";776,000000;0,000000
309;10397,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1118";1118,000000;"школа";"";"FALSE";"119590 г.Москва, ул. Довженко, д.10";"ЗАО";"Раменки";753,000000;0,000000
310;10399,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1120";1120,000000;"школа";"";"FALSE";"127591, г. Москва, улица Дубнинская, дом 36А";"САО";"Восточное Дегунино";207,000000;0,000000
311;10401,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №674";674,000000;"школа";"средняя школа";"FALSE";"125599, г. Москва, ул. Бусиновская Горка, дом 7, корпус 2";"САО";"Западное Дегунино";162,000000;0,000000
312;10400,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1125";1125,000000;"школа";"начальная школа";"FALSE";"125599, г. Москва, ул. Бусиновская Горка, дом 7, корпус 2";"САО";"Западное Дегунино";162,000000;0,000000
313;10402,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №113";113,000000;"школа";"";"FALSE";"117437, г.Москва, ул. Профсоюзная, дом 118-Б";"ЮЗАО";"Коньково";567,000000;0,000000
314;10403,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1133";1133,000000;"школа";"";"FALSE";"121609 г.Москва, ул. Крылатские холмы, д.15,корп.1";"ЗАО";"Крылатское";761,000000;0,000000
315;10404,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1137";1137,000000;"школа";"";"FALSE";"129347, г.Москва, ул.Лосевская, д.9";"СВАО";"Ярославский";306,000000;0,000000
316;10405,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №114";114,000000;"школа";"";"FALSE";"125363, г.Москва, ул.Сходненская, д.35";"СЗАО";"Южное Тушино";121,000000;0,000000
317;10254,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1736";1736,000000;"прогимназия";"";"FALSE";"115580 г.Москва, ул.Мусы Джалиля, д.29,к.3";"ЮАО";"Зябликово";854,000000;0,000000
