"ID","SHAPE_LENGTH","SHAPE_AREA"
189,2773.347184,468740.573496
190,5009.993604,767130.044149
191,1103.181465,67311.388091
192,6410.772617,1618167.305411
193,1680.01576,110874.725798
194,5847.857212,603629.810076
195,3441.65428,741058.033522
196,1444.574635,76757.44186
197,3408.50188,681106.720888
198,4483.230307,510330.507134
199,3370.354078,261264.906482
200,5650.730166,1127053.744642
201,2146.827623,223546.390697
202,7052.596429,1551935.857025
203,6828.397817,2548199.297971
204,4396.669907,1124825.743598
205,4460.456142,847953.969429
206,2884.833509,483509.505492
207,723.41161,30626.175059
208,3389.280493,704593.435102
209,3377.994859,569612.43854
210,2394.291177,350692.823827
211,4917.966028,768706.427067
212,3453.230283,136391.508162
213,3487.366999,461805.253675
214,4012.542408,514611.606218
215,3581.421717,276985.323
216,7626.711151,2037210.982578
217,10687.795281,3289177.048932
218,2793.97489,196892.244272
219,5719.815537,1746480.202815
220,429.010794,11283.756995
221,5095.036733,614893.265273
222,2740.078038,488832.879713
223,1494.67236,101763.377512
224,5709.056739,1501900.968462
225,4692.666767,880958.097515
226,6041.936293,1475333.73148
227,4570.08505,899368.172541
228,6411.682987,1544680.345895
229,602.133487,20388.844362
230,8466.617436,2901683.738804
231,2004.438281,158737.45412
232,3995.100364,372608.631801
233,4937.377842,382135.47158
234,6461.788907,1725022.968581
235,1553.512816,119773.57723
236,6536.792638,1250298.499123
237,3276.342325,375143.659218
238,4953.561257,901171.540386
239,8655.609115,1361444.243058
240,7006.660188,1159337.942925
241,3792.680978,560351.651859
242,3945.488652,299594.615521
243,2974.419087,392381.49638
244,4803.062273,1079377.438155
245,1952.78876,133616.76128
246,1663.904396,135965.507374
247,4492.855656,799042.43495
248,5535.030112,992218.758652
249,3763.819841,338413.905157
250,2965.244436,519701.989023
251,1249.230037,59335.821944
252,2099.276986,179470.517657
253,5884.439014,1067999.694432
254,729.58737,19582.329508
255,3551.995764,667638.366756
256,2899.604062,367709.446467
257,2760.096664,394819.359308
258,2291.931696,232439.310695
259,6930.121426,1041518.112835
260,4718.371747,442930.394443
261,2570.587139,207379.179692
262,2772.32814,298721.135318
263,1385.726711,59809.873395
264,3035.054842,235858.874989
265,4512.66033,1150817.976888
266,5552.861227,944192.405639
267,3478.104538,655459.113587
268,2813.593798,230802.627165
269,6403.606593,2163610.234641
270,5925.48017,720548.472325
271,2453.808345,370267.411973
272,3882.103888,563008.595053
273,4914.188826,1420863.88618
274,3091.538566,341357.247185
275,6075.736307,1058562.034932
276,6821.649012,2106002.50904
277,5064.944419,694039.671926
278,3773.456969,708250.16092
279,7049.788341,2756876.420342
280,2275.26348,262474.447684
281,4814.408724,672289.201411
282,1032.059906,36139.748109
283,1723.348664,123156.48753
284,1837.007065,183261.409729
285,2315.75833,216854.563209
286,2839.646147,374051.606058
287,1933.000275,135448.305236
288,1951.936279,165489.12175
289,2752.850677,387908.24176
290,876.156809,37274.905929
291,1028.432091,58848.439072
292,1347.427072,88524.629513
293,2794.498286,437598.363838
294,1802.401755,137355.314191
295,2072.524949,170832.389964
296,3383.210742,346744.855965
297,1544.525507,146975.629994
298,3308.484548,349633.757247
299,1808.528027,189671.238364
