"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING";"POINT_X";"POINT_Y"
36;10117,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1717";1528,000000;"прогимназия";"начальная школа";"FALSE";"124527, г. Москва, Зеленоград, корп. 817";"ЗелАО";"Старое Крюково";783,000000;0,000000;37,182054;55,980081
37;10118,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1528";1528,000000;"гимназия";"";"FALSE";"124527, г. Москва, Зеленоград, корп. 817";"ЗелАО";"Старое Крюково";783,000000;87,000000;37,190778;55,976398
38;10119,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С.Грибоедова";1529,000000;"гимназия";"";"FALSE";"119034 г.Москва, 2-ой Обыденский пер, д.9";"ЦАО";"Хамовники";25,000000;22,000000;37,603332;55,741525
39;10123,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая»";1531,000000;"гимназия";"средняя школа";"FALSE";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"СВАО";"Останкинский";226,000000;183,000000;37,632215;55,803672
40;10122,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1756";1756,000000;"прогимназия";"начальная школа";"FALSE";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"СВАО";"Останкинский";226,000000;0,000000;37,633271;55,803998
41;10124,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1532";1532,000000;"гимназия";"";"FALSE";"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3";"ЮЗАО";"Тёплый Стан";523,000000;0,000000;37,491549;55,622449
42;10125,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1534";1534,000000;"гимназия";"";"FALSE";"117036, г.Москва, ул.Кедрова, д.11";"ЮЗАО";"Академический";588,000000;23,000000;37,574192;55,684899
43;10126,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1536";1536,000000;"гимназия";"средняя школа";"FALSE";"119261, г.Москва, Ленинский проспект, дом 83 А";"ЮЗАО";"Ломоносовский";561,000000;0,000000;37,539295;55,680074
44;10127,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538";1538,000000;"гимназия";"";"FALSE";"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"СЗАО";"Митино";62,000000;88,000000;37,381342;55,839739
45;10128,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и информационных технологий №1339";1339,000000;"школа";"";"FALSE";"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"СЗАО";"Митино";62,000000;0,000000;37,388657;55,841565
