"OBJECTID","OBJECTID_OLD","ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","CATCHEMENT_AREA_STUDENTS"
1365,1795,11285,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов области знаний «Искусство« №1332",1332,"школа",FALSE,"117628, г.Москва, бульвар Дмитрия Донского, дом 6, корпус 1","ЮЗАО","Северное Бутово",815,384,302.806722
1366,1796,11286,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов области знания «Искусство« №622",622,"школа",FALSE,"109147 г.Москва,ул. Марксистская, д.9, к.2","ЦАО","Таганский",33,,1461.027343
1367,1798,11287,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля №1386",1386,"школа",FALSE,"109125, г. Москва, Васильцовский переулок, д. 1","ЮВАО","Рязанский",943,,496.750063
1368,1799,11288,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов художественно-эстетического цикла №1405 «Вдохновение»",1405,"школа",FALSE,"117647, г.Москва, улица Академика Капицы, д.16","ЮЗАО","Коньково",590,,784.249688
1369,1800,11289,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства №123",123,"школа",FALSE,"125009 г.Москва, Хлыновский туп., д.3, стр.5","ЦАО","Пресненский",944,,1530.679643
1370,1801,11290,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики №2007",2007,"школа",FALSE,"117042, г. Москва, ул. Горчакова, д. 9, корп. 1","ЮЗАО","Южное Бутово",945,15,0
1159,1538,11291,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1095",1095,"школа",FALSE,"129281, г. Москва, ул. Енисейская, д. 32, корпус 3","СВАО","Бабушкинский",247,273,683.397072
1371,1802,11292,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1216",1216,"школа",FALSE,"109147 г.Москва, Брошевский пер., д.21","ЦАО","Таганский",878,,2000.25705
1160,1539,11293,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1225",1225,"школа",FALSE,"105062 г.Москва, Лялин пер., д.12","ЦАО","Басманный",41,,4797.572194
1161,1540,11294,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1248",1248,"школа",FALSE,"121352 г.Москва, ул. Давыдковская, д. 2, корпус 6","ЗАО","Фили-Давыдково",713,180,682.605586
1162,1542,11295,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1251 имени генерала Шарля де Голля",1251,"школа",FALSE,"125252, г. Москва, ул. Сальвадора Альенде, дом 9","САО","Сокол",193,46,2581.825352
1372,1803,11296,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1265",1265,"школа",FALSE,"119333, г. Москва, ул. Фотиевой, 14, корп. 1","ЮЗАО","Гагаринский",946,208,443.271811
1373,1804,11297,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1267",1267,"школа",FALSE,"117465, г.Москва, ул. Теплый Стан, дом 13, корп. 4","ЮЗАО","Тёплый Стан",523,,0
