"","ID","x"
"7353",10373,2
"7354",10374,2
"7355",10375,2
"7356",10376,2
"7358",10378,2
"7360",10380,2
"7362",10382,2
"7363",10383,2
"7364",10384,2
"7365",10385,2
"7366",10386,2
"7367",10387,2
"7368",10388,2
"7369",10389,2
"7370",10390,2
"7372",10392,2
"7373",10393,2
"7374",10394,2
"7375",10395,2
"7378",10398,2
"7379",10399,2
"7380",10400,2
"7383",10403,2
"7384",10404,2
"7386",10406,2
"7387",10407,2
"7388",10408,2
"7389",10409,2
"7390",10410,2
"7396",10416,2
"7397",10417,2
"7399",10419,2
"7400",10420,2
"7405",10425,2
"7410",10430,2
"7412",10432,2
"7413",10433,2
"7414",10434,2
"7415",10435,2
"7417",10437,2
"7418",10438,2
"7419",10439,2
"7422",10442,2
"7424",10444,2
"7428",10448,2
"7429",10449,2
"7430",10450,2
"7431",10451,2
"7432",10452,2
"7433",10453,2
"7434",10454,2
"7435",10455,2
"7436",10456,2
"7437",10457,2
"7438",10458,2
"7440",10460,2
"7441",10461,2
"7444",10464,2
"7445",10465,2
"7448",10468,2
"7454",10474,2
"7455",10475,2
"7459",10479,2
"7460",10480,2
"7462",10482,2
"7463",10483,2
"7466",10486,2
"7467",10487,2
"7468",10488,2
"7469",10489,2
"7470",10490,2
"7471",10491,2
"7472",10492,2
"7474",10494,2
"7476",10496,2
"7477",10497,2
"7478",10498,2
"7479",10499,2
"7480",10500,2
"7481",10501,2
"7483",10503,2
"7485",10505,2
"7486",10506,2
"7488",10508,2
"7489",10509,2
"7490",10510,2
"7491",10511,2
"7492",10512,2
"7493",10513,2
"7496",10516,2
"7497",10517,2
"7498",10518,2
"7500",10520,2
"7501",10521,2
"7502",10522,2
"7503",10523,2
"7504",10524,2
"7505",10525,2
"7506",10526,2
"7507",10527,2
"7508",10528,2
"7510",10530,2
"7512",10532,2
"7513",10533,2
"7514",10534,2
"7515",10535,2
"7516",10536,2
"7518",10538,2
"7519",10539,2
"7520",10540,2
"7522",10542,2
"7523",10543,2
"7524",10544,2
"7526",10546,2
"7527",10547,2
"7528",10548,2
"7529",10549,2
"7530",10550,2
"7531",10551,2
"7532",10552,2
"7534",10554,2
"7535",10555,2
"7536",10556,2
"7537",10557,2
"7538",10558,2
"7539",10559,2
"7542",10562,2
"7543",10563,2
"7545",10565,2
"7546",10566,2
"7547",10567,2
"7549",10569,2
"7550",10570,2
"7551",10571,2
"7552",10572,2
