OBJECTID,SCHOOL_ID,SCHOOL_BLOCK_ID,FEATURE_ID,ORIG_FID,Shape_Length,Shape_Area
31035,10151,151,31035,31035,31294.299233,39667.888232
31036,10151,151,31036,31036,32986.547992,6481497.546358
31037,10151,151,31037,31037,32618.857639,982269.81225
31038,10151,151,31038,31038,31943.636439,152868.526269
43678,10227,227,43678,43678,35020.308296,72138.90683
43679,10227,227,43679,43679,35030.947229,870640.096155
43680,10227,227,43680,43680,34902.893206,779534.287614
43681,10227,227,43681,43681,34951.194261,1336385.292952
43682,10227,227,43682,43682,34545.324091,246810.260888
43683,10227,227,43683,43683,36233.671213,117437.585539
43684,10227,227,43684,43684,36905.029635,672808.062635
43685,10227,227,43685,43685,36897.238171,218931.234815
43686,10227,227,43686,43686,35683.80093,113710.233106
43687,10227,227,43687,43687,37152.406054,188248.13084
43688,10227,227,43688,43688,37152.879083,182268.348117
43689,10227,227,43689,43689,36642.49278,189458.014648
43694,10227,227,43694,43694,32422.031934,9602.960433
43695,10227,227,43695,43695,32915.03785,540637.116101
43696,10227,227,43696,43696,32906.437985,70460.864364
43697,10227,227,43697,43697,32653.834768,226705.084377
43698,10227,227,43698,43698,33024.496752,68709.624628
43699,10227,227,43699,43699,33025.317495,255705.752379
43700,10227,227,43700,43700,33270.119999,19009.869276
43701,10227,227,43701,43701,33270.838035,125875.95014
43702,10227,227,43702,43702,32950.565072,34310.342328
43703,10227,227,43703,43703,31042.512159,944905.466219
43704,10227,227,43704,43704,32554.409537,67987.360591
43705,10227,227,43705,43705,33999.209403,495422.603609
43706,10227,227,43706,43706,33997.693613,347849.098613
43707,10227,227,43707,43707,32113.252072,457269.511898
43708,10227,227,43708,43708,32110.376465,47767.473125
43709,10227,227,43709,43709,33835.548674,192983.426311
43710,10227,227,43710,43710,33835.591725,220624.720955
43711,10227,227,43711,43711,31832.458251,86564.652701
43712,10227,227,43712,43712,31409.390135,7311.630189
43713,10227,227,43713,43713,34567.37883,146459.36975
43714,10227,227,43714,43714,34567.378899,167367.355062
43715,10227,227,43715,43715,30294.614432,9639.186457
43716,10227,227,43716,43716,32580.657337,2465.079569
43717,10227,227,43717,43717,32885.443685,13510.856633
43718,10227,227,43718,43718,34610.725626,294807.709268
43719,10227,227,43719,43719,34764.104091,136751.099312
43720,10227,227,43720,43720,34762.497722,32357.821143
43721,10227,227,43721,43721,32840.087653,63785.25484
43722,10227,227,43722,43722,32442.10205,7883.432526
43723,10227,227,43723,43723,34668.688162,177786.02122
