"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1","STEP2","STEP3","STUDENTS","STUDENTS_PER_SCHOOL","ASSIGNMENT_AREA_STUDENTS","ASSIGNMENT_AREA_STUDENTS_INTENDED"
79,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551",1551,"http://gym1551sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,714,888,171,1773,443.25,119889.108802,3696.921409367
90,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2005 ",2005,"http://sch2005sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,895,841,227,1963,1963,2083.720509,878.0080043333
92,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1900",1900,"http://sch1900sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,711,674,160,1545,772.5,18087.302124,1808.7302124
93,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,"http://sch1985.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,486,561,123,1170,1170,983.731269,327.3956163333
95,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №86 имени М.Е. Катукова",86,"http://sch86sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,358,493,83,934,467,8360.187478,1672.0374956
97,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1298",1298,"http://sch1298sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,625,499,116,1240,1240,2083.720509,878.0080043333
99,"Государственное бюджетное образовательное учреждение города Москвы лицей №1564 имени Героя Советского Союза А.П. Белобородова",1564,"http://lyc1564.mskobr.ru/","лицей","Северо-Западный административный округ","слияние",3,494,1013,254,1761,587,8200.936125,2050.23403125
102,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1005 «Алые паруса»",1005,"http://sch1005sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,350,218,40,608,608,39171.078094,1119.1702545509
103,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1212",1212,"http://sch1212sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,337,295,76,708,354,78342.156188,2238.3405091018
105,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1387 ",1387,"http://sch1387.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,765,623,85,1473,1473,557.53224,557.53224
106,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1944 ",1944,"http://schusz1944.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,803,725,187,1715,857.5,6759.070171,844.883771375
107,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544",1544,"http://gym1544sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",2,528,423,147,1098,549,4197.499283,1171.3626464167
108,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1286",1286,"http://sch1286sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",5,1051,1028,269,2348,469.6,15294.56785,3058.91357
111,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1302 ",1302,"http://schu1302.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,551,368,104,1023,511.5,1205.808842,602.904421
112,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №89 имени А.П. Маресьева ",89,"http://sch89sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,272,297,60,629,629,4180.093739,836.0187478
114,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1747 ",1747,"http://sch1747sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",3,876,854,193,1923,641,20277.210513,2534.651314125
117,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1358",1358,"http://gym1358sz.mskobr.ru/","гимназия","Северо-Западный административный округ","слияние",4,1027,919,260,2206,551.5,27036.280684,3379.5350855
118,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1190",1190,"http://sch1190sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,200,216,66,482,482,9043.651062,904.3651062
121,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2097",2097,"http://sch2097sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",6,1292,1431,293,3016,502.6666666667,87845.654268,3595.983091959
122,"Государственное бюджетное образовательное учреждение города Москвы лицей №138",138,"http://sch138sz.mskobr.ru/","лицей","Северо-Западный административный округ","слияние",3,936,887,175,1998,666,117513.234282,3357.5107636528
123,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1056",1056,"http://sch1056sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,462,496,121,1079,1079,39171.078094,1119.1702545509
124,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1519",1519,"http://gym1519.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,744,933,179,1856,464,5983.249748,1495.812437
125,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №69 имени Б.Ш. Окуджавы",69,"http://sch69sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,530,519,111,1160,580,8360.187478,1672.0374956
126,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1191",1191,"http://sch1191sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",3,715,827,230,1772,590.6666666667,27130.953186,2713.0953186
127,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №883",883,"http://sch883sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",2,514,587,111,1212,606,13790.842334,2758.1684668
128,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №705",705,"http://sch705sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,558,641,135,1334,667,1666.643042,833.321521
130,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515",1515,"http://gym1515sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",2,374,588,181,1143,571.5,78342.156188,2238.3405091018
131,"Государственное бюджетное образовательное учреждение города Москвы лицей №1571",1571,"http://lyc1571sz.mskobr.ru/","лицей","Северо-Западный административный округ","присоединение",5,1410,1587,295,3292,658.4,120020.231494,5864.5079756528
132,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Курчатовская школа»",0,"http://kurchat.mskobr.ru/","школа","Северо-Западный административный округ","слияние",4,794,1190,436,2420,605,117513.234282,3357.5107636528
133,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1210",1210,"http://sch1210sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,576,535,129,1240,620,78342.156188,2238.3405091018
134,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1288 имени Героя Советского Союза Н.В. Троян",1288,"http://sch1288s.mskobr.ru/","школа","Северный административный округ","слияние",3,912,971,259,2142,714,2614.130149,1251.3148886667
135,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №648",648,"http://sch648.mskobr.ru/","школа","Северный административный округ","присоединение",2,588,558,92,1238,619,1517.669724,514.8592106667
162,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1125",1125,"http://sch1125s.mskobr.ru/","школа","Северный административный округ","присоединение",2,350,337,73,760,380,2744.53132,1372.26566
163,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №208",208,"http://sch208s.mskobr.ru/","школа","Северный административный округ","присоединение",1,158,227,50,435,435,694.121945,694.121945
164,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой",185,"http://sch185s.mskobr.ru/","школа","Северный административный округ","присоединение",1,553,433,76,1062,1062,1494.265278,747.132639
165,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1287",1287,"http://sch1287s.mskobr.ru/","школа","Северный административный округ","присоединение",2,445,574,201,1220,610,3237.55065,1079.18355
166,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1252 имени Сервантеса",1252,"http://sch1252.mskobr.ru/","школа","Северный административный округ","присоединение",1,410,313,108,831,831,39171.078094,1119.1702545509
167,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1213",1213,"http://sch1213s.mskobr.ru/","школа","Северный административный округ","присоединение",2,387,434,87,908,454,1305.061958,1305.061958
168,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1409 ",1409,"http://gym1409s-new.mskobr.ru/","гимназия","Северный административный округ","слияние",1,717,811,159,1687,1687,1009.977795,1009.977795
169,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1583",1583,"http://gym1583s-new.mskobr.ru/","гимназия","Северный административный округ","присоединение",3,659,711,177,1547,515.6666666667,3645.092486,1822.546243
170,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1678 «Восточное Дегунино»",1678,"http://sch1678.mskobr.ru/","школа","Северный административный округ","слияние",3,349,352,88,789,263,5868.880323,1956.293441
172,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1315",1315,"http://sch1315s.mskobr.ru/","школа","Северный административный округ","присоединение",2,622,738,130,1490,745,3245.249132,1622.624566
173,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1383",1383,"http://sch1383.mskobr.ru/","школа","Северный административный округ","присоединение",2,538,566,141,1245,622.5,4399.291404,1466.430468
