"OBJECTID_1";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT";"STEP1";"STEP2";"STEP3"
88;179,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2098 имени Героя Советского Союза Л.М. Доватора";2098,000000;"http://sch2098s.mskobr.ru/";"школа";"САО";"слияние";2,000000;1346,000000;1391,000000;296,000000
89;180,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2100";2100,000000;"http://sch2100.mskobr.ru/";"школа";"САО";"слияние";3,000000;691,000000;697,000000;126,000000
90;181,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1794";1794,000000;"http://sch1794s.mskobr.ru/";"школа";"САО";"слияние";6,000000;848,000000;1038,000000;238,000000
91;182,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1590 имени Героя Советского Союза В.В. Колесника ";1590,000000;"http://gym1590s.mskobr.ru/";"гимназия";"САО";"слияние";2,000000;493,000000;522,000000;138,000000
92;183,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №771";771,000000;"http://sch771s.mskobr.ru/";"школа";"САО";"слияние";4,000000;662,000000;666,000000;146,000000
93;185,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №727";727,000000;"http://sch727s.mskobr.ru/";"школа";"САО";"присоединение";1,000000;0,000000;0,000000;0,000000
94;186,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1159";1159,000000;"http://sch1159s.mskobr.ru/";"школа";"САО";"слияние";2,000000;444,000000;537,000000;105,000000
95;187,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1224";1224,000000;"http://sch2098s.mskobr.ru/";"школа";"САО";"присоединение";3,000000;1346,000000;1391,000000;296,000000
96;188,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1474";1474,000000;"http://sch1474s.mskobr.ru/";"школа";"САО";"присоединение";5,000000;1475,000000;1572,000000;329,000000
97;189,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2099";2099,000000;"http://sch2099.mskobr.ru/";"школа";"САО";"слияние";2,000000;229,000000;298,000000;82,000000
98;190,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №158";158,000000;"http://sch158s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;501,000000;465,000000;83,000000
99;191,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №141";141,000000;"http://sch141s.mskobr.ru/";"школа";"САО";"слияние";2,000000;445,000000;502,000000;157,000000
100;192,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №218";218,000000;"http://sch218.mskobr.ru/";"школа";"САО";"слияние";1,000000;370,000000;402,000000;129,000000
101;193,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1251 имени генерала Шарля де Голля";1251,000000;"http://sch1251s.mskobr.ru/";"школа";"САО";"присоединение";3,000000;651,000000;787,000000;205,000000
102;194,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №167 имени Маршала Л.А. Говорова";167,000000;"http://sch167s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;519,000000;596,000000;133,000000
103;195,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1250 ";1250,000000;"http://sch1250s.mskobr.ru/";"школа";"САО";"присоединение";1,000000;362,000000;305,000000;80,000000
104;197,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №597 ";597,000000;"http://sch597s.mskobr.ru/";"школа";"САО";"присоединение";1,000000;315,000000;364,000000;62,000000
105;198,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №224 ";224,000000;"http://sch224s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;238,000000;281,000000;97,000000
106;200,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1631 ";1631,000000;"http://sch1631s.mskobr.ru/";"школа";"САО";"слияние";2,000000;526,000000;591,000000;134,000000
107;201,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №849";849,000000;"http://schs849.mskobr.ru/";"школа";"САО";"присоединение";2,000000;0,000000;92,000000;23,000000
108;202,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";201,000000;"http://gym201s.mskobr.ru/";"гимназия";"САО";"присоединение";1,000000;294,000000;279,000000;97,000000
109;203,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №744 имени Петра Николаевича Еремеева";744,000000;"http://sch744s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;147,000000;213,000000;50,000000
110;204,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1454 «Центр образования Тимирязевский»";1454,000000;"http://sch1454s.mskobr.ru/";"школа";"САО";"слияние";2,000000;469,000000;500,000000;157,000000
111;205,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №236";236,000000;"http://sch236s.mskobr.ru/";"школа";"САО";"присоединение";3,000000;890,000000;945,000000;189,000000
112;206,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1784 «Кадетская школа»";1784,000000;"http://sch1784s.mskobr.ru/";"школа";"САО";"слияние";2,000000;200,000000;254,000000;64,000000
113;207,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №222";222,000000;"http://sch222s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;393,000000;607,000000;116,000000
114;208,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №668 имени Героя Советского Союза В.П. Кислякова";668,000000;"http://sch668s.mskobr.ru/";"школа";"САО";"слияние";1,000000;259,000000;255,000000;50,000000
115;209,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича»";0,000000;"http://itschool.mskobr.ru/";"школа";"САО";"слияние";4,000000;765,000000;765,000000;210,000000
116;210,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1575";1575,000000;"http://lyc1575.mskobr.ru/";"школа";"САО";"присоединение";2,000000;311,000000;438,000000;255,000000
117;211,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1601 имени Героя Советского Союза Е.К. Лютикова";1601,000000;"http://cos1601.mskobr.ru/";"центр образования";"САО";"присоединение";5,000000;764,000000;763,000000;198,000000
118;212,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №152";152,000000;"http://sch152s-new.mskobr.ru/";"школа";"САО";"присоединение";2,000000;484,000000;564,000000;203,000000
119;215,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №761 ";761,000000;"http://sch761sv.mskobr.ru/";"школа";"СВАО";"присоединение";2,000000;390,000000;447,000000;96,000000
120;226,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая»";1531,000000;"http://gym1531sv.mskobr.ru/";"гимназия";"СВАО";"присоединение";2,000000;526,000000;566,000000;152,000000
121;232,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2044";2044,000000;"http://sch2044sv-new.mskobr.ru/";"школа";"СВАО";"присоединение";1,000000;390,000000;366,000000;64,000000
