"ID","SCHOOL_ID","NAME","NUMB","CURRENT_USE","ADDRESS","OKRUG","RAYON","POINT_X","POINT_Y"
216,10216,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1918 имени Героя Советского Союза А.П. Белобородова",1918,"","125222, г. Москва, улица Рословка, дом 8","СЗАО","Митино",37.354046,55.83216
217,10217,"Государственное бюджетное образовательное учреждение города Москвы лицей №1568",1568,"средняя школа","127221, г. Москва, проезд Шокальского, дом 7, корпус 2","СВАО","Южное Медведково",37.642875,55.87454
218,10218,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №132",132,"начальная школа","125481, г. Москва, ул. Фомичевой, д. 1, корп. 1","СЗАО","Северное Тушино",37.44525,55.862017
219,10219,"Государственное бюджетное образовательное учреждение города Москвы лицей №1571",1571,"средняя школа","125481, г. Москва, ул. Фомичевой, д. 1, корп. 1","СЗАО","Северное Тушино",37.446775,55.857583
220,10220,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №599",599,"средняя школа","125481, г. Москва, ул. Фомичевой, д. 1, корп. 1","СЗАО","Северное Тушино",37.441841,55.862819
221,10221,"Государственное бюджетное образовательное учреждение города Москвы лицей №1574",1574,"","125047 г. Москва, 1-я Миусская ул., д.4","ЦАО","Тверской",37.597183,55.779798
222,10222,"Государственное бюджетное образовательное учреждение города Москвы лицей №1575",1575,"средняя школа","125319 г. Москва, ул. Усиевича, д. 6","САО","Аэропорт",37.531872,55.804837
223,10223,"Государственное бюджетное образовательное учреждение города Москвы лицей №1580 при МГТУ имени Н.Э.Баумана",1580,"","117639 г. Москва, Балаклавский  проспект д. 6А","ЮАО","Нагорный",37.613038,55.641641
224,10224,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №537",537,"","117639 г. Москва, Балаклавский  проспект д. 6А","ЮАО","Нагорный",37.612885,55.642603
225,10225,"Государственное бюджетное образовательное учреждение города Москвы лицей №1581",1581,"средняя школа","105120 г.Москва, Б.Полуярославский пер., д.7/4, стр. 1-1А","ЦАО","Таганский",37.663418,55.752608
226,10226,"Государственное бюджетное образовательное учреждение города Москвы лицей №1586",1586,"средняя школа","119330 г.Москва, ул.Дружбы, д. 8","ЗАО","Раменки",37.513556,55.709343
227,10227,"Государственное бюджетное образовательное учреждение города Москвы лицей №1589",1589,"","105082 г.Москва, ул.Фридриха Энгельса, д.79, стр.1,2,3.","ЦАО","Басманный",37.695661,55.779014
228,10228,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №320",320,"","105082 г.Москва, ул.Фридриха Энгельса, д.79, стр.1,2,3.","ЦАО","Басманный",37.655131,55.768475
229,10229,"Государственное бюджетное образовательное учреждение города Москвы лицей №1594",1594,"средняя школа","127486, г.Москва,  Дегунинская улица, дом 2","САО","Западное Дегунино",37.540485,55.864313
230,10230,"Государственное бюджетное образовательное учреждение города Москвы лицей №1598",1598,"средняя школа","107589, г.Москва, ул. Хабаровская, д. 18А","ВАО","Гольяново",37.829541,55.824675
231,10231,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1714",1714,"","107589, г.Москва, ул. Хабаровская, д. 18А","ВАО","Гольяново",37.829253,55.818685
232,10232,"Государственное бюджетное образовательное учреждение города Москвы лицей №1828 «Сабурово»",1828,"","115211 Москва, Каширское ш. д.55-7","ЮАО","Москворечье-Сабурово",37.697635,55.63981
233,10233,"Государственное автономное образовательное учреждение города Москвы центр образования №1158",1158,"начальная школа","117648, г. Москва, микрорайон Северное Чертаново корп. 809","ЮАО","Чертаново Северное",37.59522,55.63149
234,10234,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №855",855,"начальная школа","117648, г. Москва, микрорайон Северное Чертаново корп. 809","ЮАО","Чертаново Северное",37.594355,55.629592
235,10235,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №540",1451,"начальная школа","115191 г. Москва, ул. Мытная, дом 50 корпус 3","ЮАО","Даниловский",37.614363,55.713445
