"OBJECTID";"ADDRESS";"ID";"POINT_X";"POINT_Y"
60;"Москва, Панфилова ул, д.18, корп.2";243;37,494845;55,805381
61;"Москва, Панфилова ул, д.18, корп.3";244;37,495751;55,805624
62;"Москва, Панфилова ул, д.18А";245;37,495023;55,806600
63;"Москва, Панфилова ул, д.2, корп.1";246;37,500189;55,799031
64;"Москва, Панфилова ул, д.2, корп.2";247;37,499758;55,799466
65;"Москва, Панфилова ул, д.2, корп.3";248;37,499488;55,799947
66;"Москва, Панфилова ул, д.2, корп.4";249;37,500350;55,800164
67;"Москва, Панфилова ул, д.2, стр.2";250;37,501581;55,799390
68;"Москва, Панфилова ул, д.20, стр.1";251;37,493918;55,807668
69;"Москва, Панфилова ул, д.20, стр.2";252;37,493982;55,806756
70;"Москва, Панфилова ул, д.20, стр.3";253;37,494987;55,806898
71;"Москва, Панфилова ул, д.20, стр.4";254;37,495330;55,807410
72;"Москва, Панфилова ул, д.20, стр.5";255;37,492635;55,807753
73;"Москва, Панфилова ул, д.4, корп.1";256;37,499076;55,800285
74;"Москва, Панфилова ул, д.4, корп.2";257;37,498582;55,800852
75;"Москва, Панфилова ул, д.4, корп.3";258;37,498096;55,801439
76;"Москва, Панфилова ул, д.6";259;37,497871;55,802294
77;"Москва, Панфилова ул, д.6Б";260;37,497495;55,802047
78;"Москва, Панфилова ул, д.8";261;37,497692;55,802948
79;"Москва, Поленова ул, д.11";262;37,500781;55,803120
80;"Москва, Поленова ул, д.13";264;37,500521;55,803378
81;"Москва, Поленова ул, д.15";266;37,500360;55,803555
82;"Москва, Поленова ул, д.17";268;37,500171;55,803762
83;"Москва, Поленова ул, д.19";270;37,499982;55,803919
84;"Москва, Поленова ул, д.3";272;37,501456;55,801799
85;"Москва, Поленова ул, д.4";273;37,502507;55,801667
86;"Москва, Поленова ул, д.7";274;37,501043;55,802562
87;"Москва, Поленова ул, д.9";275;37,500989;55,802927
88;"Москва, Сурикова ул, д.18";302;37,500665;55,802639
89;"Москва, Сурикова ул, д.20";303;37,500332;55,802710
90;"Москва, Сурикова ул, д.21";304;37,501061;55,802259
91;"Москва, Сурикова ул, д.21А";305;37,500620;55,802309
92;"Москва, Сурикова ул, д.24";306;37,499174;55,802896
93;"Москва, Сурикова ул, д.25";307;37,499525;55,802173
94;"Москва, Сурикова ул, д.27";308;37,499371;55,802451
95;"Москва, Сурикова ул, д.29";309;37,498949;55,802471
96;"Москва, 1-й Волоколамский проезд, д.11, корп.1";321;37,490693;55,801936
97;"Москва, 1-й Волоколамский проезд, д.11, корп.2";322;37,489931;55,801727
98;"Москва, 1-й Волоколамский проезд, д.11, корп.3";323;37,489094;55,801510
99;"Москва, 1-й Волоколамский проезд, д.13";324;37,490048;55,802486
100;"Москва, 1-й Волоколамский проезд, д.15/16";325;37,489463;55,803241
101;"Москва, 1-й Волоколамский проезд, д.2";326;37,494484;55,800352
102;"Москва, 1-й Волоколамский проезд, д.4";327;37,493533;55,800614
103;"Москва, 1-й Волоколамский проезд, д.5";328;37,493388;55,799750
104;"Москва, 1-й Волоколамский проезд, д.6, корп.1";329;37,492759;55,800934
105;"Москва, 1-й Волоколамский проезд, д.6, корп.2";330;37,493578;55,801157
106;"Москва, 1-й Волоколамский проезд, д.7, корп.1";331;37,491799;55,800690
107;"Москва, 1-й Волоколамский проезд, д.7, корп.2";332;37,491099;55,800585
108;"Москва, 1-й Волоколамский проезд, д.7, корп.3";333;37,490478;55,800417
109;"Москва, 1-й Волоколамский проезд, д.7, корп.4";334;37,489876;55,800250
110;"Москва, 1-й Волоколамский проезд, д.8, корп.1";335;37,492168;55,801626
111;"Москва, 1-й Волоколамский проезд, д.8, корп.1, стр.1";336;37,492168;55,801626
112;"Москва, 1-й Волоколамский проезд, д.8, корп.2";337;37,492967;55,801849
113;"Москва, 1-й Пехотный пер, д.9/27, стр.1";340;37,478846;55,804090
114;"Москва, 3-й Волоколамский проезд, д.10, корп.1";381;37,486426;55,802128
115;"Москва, 3-й Волоколамский проезд, д.10, корп.2";382;37,487415;55,801389
116;"Москва, 3-й Волоколамский проезд, д.12, корп.1";383;37,487109;55,802587
117;"Москва, 3-й Волоколамский проезд, д.12, корп.2";384;37,487864;55,801890
118;"Москва, 3-й Волоколамский проезд, д.14, корп.1";385;37,488188;55,802594
119;"Москва, 3-й Волоколамский проезд, д.14, корп.1, стр.1";386;37,488313;55,802341
120;"Москва, 3-й Волоколамский проезд, д.14, корп.2";387;37,489058;55,802169
121;"Москва, 3-й Волоколамский проезд, д.14, корп.3";388;37,488188;55,802594
122;"Москва, 3-й Волоколамский проезд, д.2";389;37,483830;55,800898
123;"Москва, 3-й Волоколамский проезд, д.4";390;37,484477;55,800898
