"SCHOOL_ID","SCHOOL_BLOCK_ID","FEATURE_ID","POINT_X","POINT_Y"
10002,245,77,37.796661,55.806174
10002,245,78,37.796277,55.805123
10002,245,78,37.796661,55.806174
10002,245,79,37.795525,55.803962
10002,245,79,37.796661,55.806174
10002,245,80,37.794819,55.803952
10002,245,80,37.796661,55.806174
10002,245,81,37.795469,55.804928
10002,245,81,37.796661,55.806174
10002,245,82,37.794584,55.804916
10002,245,82,37.796661,55.806174
10002,245,83,37.795422,55.805894
10002,245,83,37.796661,55.806174
10002,245,84,37.794729,55.805878
10002,245,84,37.796661,55.806174
10002,245,85,37.794032,55.805864
10002,245,85,37.796661,55.806174
10002,245,86,37.793255,55.80698
10002,245,86,37.796661,55.806174
10002,245,87,37.792214,55.807943
10002,245,87,37.796661,55.806174
10002,245,88,37.794684,55.807007
10002,245,88,37.796661,55.806174
10002,245,89,37.793,55.807964
10002,245,89,37.796661,55.806174
10002,245,90,37.791656,55.808925
10002,245,90,37.796661,55.806174
10002,245,91,37.792412,55.808961
10002,245,91,37.796661,55.806174
10002,245,92,37.79195,55.809403
10002,245,92,37.796661,55.806174
10002,245,93,37.795463,55.807025
10002,245,93,37.796661,55.806174
10002,245,94,37.793897,55.808304
10002,245,94,37.796661,55.806174
10002,245,95,37.793192,55.80898
10002,245,95,37.796661,55.806174
10002,245,96,37.792745,55.809613
10002,245,96,37.796661,55.806174
10002,245,97,37.794954,55.80802
10002,245,97,37.796661,55.806174
10002,245,98,37.794584,55.809021
10002,245,98,37.796661,55.806174
10002,245,99,37.795729,55.808034
10002,245,99,37.796661,55.806174
10002,245,100,37.79492,55.80967
10002,245,100,37.796661,55.806174
10002,245,101,37.795364,55.809044
10002,245,101,37.796661,55.806174
10002,245,102,37.796395,55.807481
10002,245,102,37.796661,55.806174
10002,245,103,37.796288,55.808974
10002,245,103,37.796661,55.806174
10002,245,104,37.796984,55.808076
10002,245,104,37.796661,55.806174
10002,245,105,37.797224,55.809104
10002,245,105,37.796661,55.806174
10002,245,106,37.797593,55.809748
10002,245,106,37.796661,55.806174
10002,245,107,37.797943,55.809119
10002,245,107,37.796661,55.806174
10002,245,108,37.797748,55.806209
10002,245,108,37.796661,55.806174
10002,245,109,37.797776,55.805752
10002,245,109,37.796661,55.806174
10002,245,110,37.797797,55.805295
10002,245,110,37.796661,55.806174
10002,245,111,37.79782,55.80484
10002,245,111,37.796661,55.806174
10002,245,112,37.798239,55.803392
10002,245,112,37.796661,55.806174
10002,245,113,37.797568,55.80407
10002,245,113,37.796661,55.806174
10002,245,114,37.797247,55.803471
10002,245,114,37.796661,55.806174
10003,3,115,37.687549,55.684193
10003,3,115,37.688638,55.686136
10003,3,116,37.686758,55.682847
10003,3,116,37.688638,55.686136
10003,3,117,37.686236,55.682337
10003,3,117,37.688638,55.686136
10003,3,118,37.687657,55.684852
10003,3,118,37.688638,55.686136
10003,3,119,37.685294,55.682322
10003,3,119,37.688638,55.686136
10003,3,120,37.686219,55.683397
10003,3,120,37.688638,55.686136
10003,3,121,37.685623,55.682836
10003,3,121,37.688638,55.686136
10003,3,122,37.68625,55.68384
10003,3,122,37.688638,55.686136
10003,3,123,37.684675,55.682799
10003,3,123,37.688638,55.686136
10003,3,124,37.686756,55.684662
10003,3,124,37.688638,55.686136
10003,3,125,37.684964,55.683501
10003,3,125,37.688638,55.686136
10003,3,126,37.685895,55.68443
10003,3,126,37.688638,55.686136
10003,3,127,37.683916,55.683214
10003,3,127,37.688638,55.686136
10003,3,128,37.684351,55.683921
10003,3,128,37.688638,55.686136
10003,3,129,37.686442,55.685188
10003,3,129,37.688638,55.686136
10003,3,130,37.684344,55.684594
