"OBJECTID";"ID_1";"NAME";"NUMB";"ADDRESS";"OKRUG";"RAYON";"VID";"COMPLEX_ID"
15;50,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1257 (средняя школа)";1257,000000;"115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1";"Южный административный округ";"Даниловский район";"Гимназия";348,000000
16;50,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1257 (начальная школа)";1257,000000;"115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1";"Южный административный округ";"Даниловский район";"Гимназия";348,000000
18;51,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1274 имени В.В.Маяковского";1274,000000;"115088, г. Москва, ул. 1-я Дубровская, д. 16";"Юго-Восточный административный округ";"Южнопортовый район";"Гимназия";496,000000
20;52,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1306";1306,000000;"119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3";"Западный административный округ";"район Раменки";"Гимназия";774,000000
37;53,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1404 «Гамма»";1404,000000;"107014, Москва,  ул. Большая Оленья,  д. 3";"Восточный административный округ";"район Сокольники";"Гимназия";610,000000
39;53,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1404 «Гамма»";1404,000000;"107014, Москва,  ул. Большая Оленья,  д. 3";"Восточный административный округ";"район Сокольники";"Гимназия";610,000000
40;55,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1505 «Московская городская педагогическая гимназия-лаборатория» (средняя школа)";1505,000000;"107061, г. Москва, улица  2-я Пугачевская, дом 6А";"Восточный административный округ";"район Преображенское";"Гимназия";674,000000
41;57,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1507";1507,000000;"117321,  г. Москва, ул. Профсоюзная, дом 132, корп.9";"Юго-Западный административный округ";"район Тёплый Стан";"Гимназия";571,000000
42;58,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1512 (средняя школа)";1512,000000;"111538, г. Москва, ул. Косинская, д.24А";"Восточный административный округ";"район Вешняки";"Гимназия";684,000000
43;59,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия» (средняя школа)";1513,000000;"121099 г. Москва, Новинский б-р, д.3, стр.2";"Центральный административный округ";"район Арбат";"Гимназия";39,000000
