"OBJECTID";"ID_1";"NAME";"NUMB";"ADDRESS";"OKRUG";"RAYON";"VID";"COMPLEX_ID"
324;228,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №533";533,000000;"117461, город Москва, улица Каховка, дом 19, корпус 3";"Юго-Западный административный округ";"район Зюзино";"Средняя общеобразовательная школа ""Школа Здоровья""";568,000000
325;230,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №554";554,000000;"117209, г.Москва, Болотниковская улица, дом 47, корпус 2";"Юго-Западный административный округ";"район Зюзино";"Средняя общеобразовательная школа ""Школа Здоровья""";585,000000
326;231,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №60 имени В.С. Опариной";60,000000;"121351 г.Москва, ул.Партизанская, д. 30, корпус 2";"Западный административный округ";"район Кунцево";"Средняя общеобразовательная школа ""Школа Здоровья""";723,000000
327;232,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №606";606,000000;"127566, г.Москва, улица  Бестужевых, дом 25 Б";"Северо-Восточный административный округ";"район Отрадное";"Средняя общеобразовательная школа ""Школа Здоровья""";308,000000
328;234,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №64";64,000000;"121351 г.Москва, ул.Партизанская, д. 30, корпус 2, стр. 2";"Западный административный округ";"район Кунцево";"Средняя общеобразовательная школа ""Школа Здоровья""";723,000000
329;235,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №659";659,000000;"121552 г.Москва, ул. Ельнинская, д. 24";"Западный административный округ";"район Кунцево";"Средняя общеобразовательная школа ""Школа Здоровья""";763,000000
330;236,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №682";682,000000;"125493, г. Москва, ул.Авангардная, д.11А";"Северный административный округ";"Головинский район";"Средняя общеобразовательная школа ""Школа Здоровья""";172,000000
331;237,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №712";712,000000;"121374 г.Москва, Кутузовский проспект, д. 80";"Западный административный округ";"район Фили-Давыдково";"Средняя общеобразовательная школа ""Школа Здоровья""";717,000000
332;239,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №812";812,000000;"не определено";"Западный административный округ";"район Тропарёво-Никулино";"Средняя общеобразовательная школа ""Школа Здоровья""";751,000000
333;240,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №883";883,000000;"125480, г. Москва, ул. Планерная, д.5, корп. 2";"Северо-Западный административный округ";"район Северное Тушино";"Средняя общеобразовательная школа ""Школа Здоровья""";127,000000
334;241,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №892";892,000000;"111539, город Москва, ул. Реутовская,  д. 2 а";"Восточный административный округ";"район Вешняки";"Средняя общеобразовательная школа ""Школа Здоровья""";697,000000
335;242,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №427";427,000000;"115583 г.Москва, ул. Воронежская д.26,к.4";"Южный административный округ";"район Орехово-Борисово Южное";"Средняя общеобразовательная школа";315,000000
336;242,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №896";896,000000;"115583 г.Москва, ул. Воронежская д.26,к.4";"Южный административный округ";"район Орехово-Борисово Южное";"Средняя общеобразовательная школа";315,000000
338;244,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №901 (средняя школа)";901,000000;"117535 Москва, ул. Подольских Курсантов д.18 Б";"Южный административный округ";"район Чертаново Южное";"Средняя общеобразовательная школа ""Школа Здоровья""";372,000000
339;245,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №594";594,000000;"115563 г. Москва, Борисовский проезд, дом 40, клорпус 2";"Южный административный округ";"район Орехово-Борисово Северное";"Средняя общеобразовательная школа ""Школа Здоровья""";379,000000
340;245,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №939";939,000000;"115563 г. Москва, Борисовский проезд, дом 40, клорпус 2";"Южный административный округ";"район Орехово-Борисово Северное";"Средняя общеобразовательная школа ""Школа Здоровья""";379,000000
342;260,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1210";1210,000000;"123098, г. Москва, ул. Гамалеи, д. 17, корп. 1";"Северо-Западный административный округ";"район Щукино";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";133,000000
343;261,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1";1,000000;"119311, г.Москва , Ломоносовский проспект, дом 21";"Юго-Западный административный округ";"Гагаринский район";"Средняя общеобразовательная школа";563,000000
344;262,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1000";1000,000000;"119619 г. Москва, ул.Наро-Фоминская, д.1";"Западный административный округ";"район Солнцево";"Средняя общеобразовательная школа";705,000000
345;262,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1009 ";1009,000000;"119619 г. Москва, ул.Наро-Фоминская, д.1";"Западный административный округ";"район Солнцево";"Средняя общеобразовательная школа";705,000000
346;262,000000;"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1 (начальная школа)";1,000000;"119619 г. Москва, ул.Наро-Фоминская, д.1";"Западный административный округ";"район Солнцево";"Средняя общеобразовательная школа";705,000000
348;264,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1002";1002,000000;"119620 г.Москва, Солнцевский проспект, д. 12 А";"Западный административный округ";"район Солнцево";"Средняя общеобразовательная школа";706,000000
350;266,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1005 «Алые паруса«";1005,000000;"123182, г. Москва, ул. Авиационная, д.71, корп. 3";"Северо-Западный административный округ";"район Щукино";"Средняя общеобразовательная школа";102,000000
351;267,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1007";1007,000000;"119620 г. Москва, Солнцевский проспект, дом 7 А";"Западный административный округ";"район Солнцево";"Средняя общеобразовательная школа";706,000000
352;268,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №341";341,000000;"123308, город Москва, улица Мневники, дом 7, корус 5";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Средняя общеобразовательная школа";78,000000
355;268,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №100";100,000000;"123308, город Москва, улица Мневники, дом 7, корус 5";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Средняя общеобразовательная школа";78,000000
358;268,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1010";1010,000000;"123308, город Москва, улица Мневники, дом 7, корус 5";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Средняя общеобразовательная школа";78,000000
359;270,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1015";1015,000000;"199633 г.Москва, ул.Новопеределкинская, д.9, корп.1";"Западный административный округ";"район Ново-Переделкино";"Средняя общеобразовательная школа";773,000000
360;271,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1017";1017,000000;"119634 г. Москва, ул. Федосьинская, д.4, кор.2";"Западный административный округ";"район Ново-Переделкино";"Средняя общеобразовательная школа";744,000000
361;272,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №102";102,000000;"117449, г.Москва, улица Шверника, дом 10";"Юго-Западный административный округ";"Академический район";"Средняя общеобразовательная школа";505,000000
362;274,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1021";1021,000000;"105173, г.Москва, ул. Главная,  9А";"Восточный административный округ";"район Восточный";"Средняя общеобразовательная школа";665,000000
363;278,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1032";1032,000000;"107553, г. Москва,  ул. 2-я Пугачевская  д.7";"Восточный административный округ";"район Преображенское";"Средняя общеобразовательная школа";674,000000
366;279,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1997 (средняя школа)";1997,000000;"115612 г. Москва, ул. Братеевская, д.8, корп. 2";"Южный административный округ";"район Братеево";"Средняя общеобразовательная школа";328,000000
367;279,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1034 (начальная школа)";1034,000000;"115612 г. Москва, ул. Братеевская, д.8, корп. 2";"Южный административный округ";"район Братеево";"Средняя общеобразовательная школа";328,000000
368;280,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1038";1038,000000;"127081, г. Москва, улица Ясный проезд, дом 21";"Северо-Восточный административный округ";"район Южное Медведково";"Средняя общеобразовательная школа";271,000000
369;281,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1039";1039,000000;"109559, г. Москва, ул. Белореченская, д. 23А";"Юго-Восточный административный округ";"район Люблино";"Средняя общеобразовательная школа";419,000000
370;282,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №104";104,000000;"117292, г.Москва, улица Ивана Бабушкина, дом 15, корпус 5";"Юго-Западный административный округ";"Академический район";"Средняя общеобразовательная школа";602,000000
371;283,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1040 (начальная школа)";1040,000000;"109144, г. Москва, Батайский проезд, д.47";"Юго-Восточный административный округ";"район Марьино";"Средняя общеобразовательная школа";439,000000
372;284,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1043";1043,000000;"109652, г. Москва, ул. Люблинская, дом 173";"Юго-Восточный административный округ";"район Марьино";"Средняя общеобразовательная школа";459,000000
373;284,000000;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа №1780 «Кадетский корпус памяти Героев Сталинградской битвы»";1780,000000;"109652, г. Москва, ул. Люблинская, дом 173";"Юго-Восточный административный округ";"район Марьино";"Средняя общеобразовательная школа";459,000000
374;285,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1049 (средняя школа)";1049,000000;"109651, г.Москва, ул.Донецкая, д.14";"Юго-Восточный административный округ";"район Марьино";"Средняя общеобразовательная школа";462,000000
376;286,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1050";1050,000000;"124460, г. Москва, Зеленоград, корп. 1128";"Зеленоградский административный округ";"район Силино";"Средняя общеобразовательная школа";812,000000
377;287,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1051 имени Героя Социалистического Труда Г.В. Кисунько";1051,000000;"127572, город  Москва, улица  Угличская, дом 17";"Северо-Восточный административный округ";"район Лианозово";"Средняя общеобразовательная школа";292,000000
378;289,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1056";1056,000000;"125363, г. Москва, ул. Штурвальная, д. 7, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Средняя общеобразовательная школа";123,000000
379;291,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1060";1060,000000;"115093 г. Москва, Стремянный пер., д. 33/35";"Центральный административный округ";"район Замоскворечье";"Средняя общеобразовательная школа";18,000000
382;292,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1062";1062,000000;"125222, г. Москва, улица Дубравная, дом 41, корпус 4.";"Северо-Западный административный округ";"район Митино";"Средняя общеобразовательная школа";92,000000
385;295,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1077";1077,000000;"107589, г.Москва, ул.Хабаровская, дом 18А, строение1";"Восточный административный округ";"район Гольяново";"Средняя общеобразовательная школа";660,000000
386;296,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1078";1078,000000;"107207, г. Москва, ул. Алтайская , д.10А";"Восточный административный округ";"район Гольяново";"Средняя общеобразовательная школа";700,000000
387;297,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №108";108,000000;"117574, г.Москва, ул. Вильнюсская, д.14";"Юго-Западный административный округ";"район Ясенево";"Средняя общеобразовательная школа";597,000000
388;298,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1094";1094,000000;"129347, г. Москва, ул. Палехская, д. 137";"Северо-Восточный административный округ";"Ярославский район";"Средняя общеобразовательная школа";306,000000
389;299,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1096";1096,000000;"129337, г. Москва, улица Палехская, дом 10";"Северо-Восточный административный округ";"Ярославский район";"Средняя общеобразовательная школа";280,000000
390;300,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1097";1097,000000;"129327, г. Москва, ул. Печорская, д.18";"Северо-Восточный административный округ";"Бабушкинский район";"Средняя общеобразовательная школа";259,000000
391;301,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1098";1098,000000;"129343, г. Москва, ул. Амундсена, д. 10, корп. 2";"Северо-Восточный административный округ";"район Свиблово";"Средняя общеобразовательная школа";293,000000
392;302,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №11";11,000000;"119311, г.Москва, Ломоносовский проспект, д.13";"Юго-Западный административный округ";"Гагаринский район";"Средняя общеобразовательная школа";563,000000
395;303,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1100";1100,000000;"117630, г. Москва, улица Академика Челомея, дом 6а";"Юго-Западный административный округ";"Обручевский район";"Средняя общеобразовательная школа";517,000000
397;304,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1101";1101,000000;"117133, Москва, ул. Академика Варги, дом 34";"Юго-Западный административный округ";"район Тёплый Стан";"Средняя общеобразовательная школа";528,000000
398;305,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1103 имени Героя Российской Федерации А.В. Соломатина";1103,000000;"117588, г. Москва, Литовский бульвар, дом 44, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Средняя общеобразовательная школа";579,000000
399;306,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1104 (средняя школа)";1104,000000;"117647, г. Москва, ул. Академика Капицы, д. 14 А";"Юго-Западный административный округ";"район Коньково";"Средняя общеобразовательная школа";590,000000
400;306,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1801 (начальная школа)";1801,000000;"117647, г. Москва, ул. Академика Капицы, д. 14 А";"Юго-Западный административный округ";"район Коньково";"Средняя общеобразовательная школа";590,000000
401;306,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1104 (начальная школа)";1104,000000;"117647, г. Москва, ул. Академика Капицы, д. 14 А";"Юго-Западный административный округ";"район Коньково";"Средняя общеобразовательная школа";590,000000
402;308,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1108";1108,000000;"117593, г.Москва, Соловьиный проезд, дом 16, корп. 2";"Юго-Западный административный округ";"район Ясенево";"Средняя общеобразовательная школа";579,000000
403;309,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1112 имени Героя Советского Союза В.В. Колесника (средняя школа)";1112,000000;"125502, г. Москва, ул. Фестивальная, дом 69";"Северный административный округ";"район Ховрино";"Средняя общеобразовательная школа";182,000000
406;310,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №696 (средняя школа)";696,000000;"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"Западный административный округ";"район Филёвский Парк";"Средняя общеобразовательная школа";701,000000
407;310,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1114 (начальная школа)";1114,000000;"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"Западный административный округ";"район Филёвский Парк";"Средняя общеобразовательная школа";701,000000
410;311,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1117";1117,000000;"119361 г.Москва, ул.Озерная, д. 27, корпус 2";"Западный административный округ";"район Очаково-Матвеевское";"Средняя общеобразовательная школа";776,000000
411;312,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1118";1118,000000;"119590 г.Москва, ул. Довженко, д.10";"Западный административный округ";"район Раменки";"Средняя общеобразовательная школа";753,000000
412;314,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1120";1120,000000;"127591, г. Москва, улица Дубнинская, дом 36А";"Северный административный округ";"район Восточное Дегунино";"Средняя общеобразовательная школа";207,000000
413;315,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №674 (средняя школа)";674,000000;"125599, г. Москва, ул. Бусиновская Горка, дом 7, корпус 2";"Северный административный округ";"район Западное Дегунино";"Средняя общеобразовательная школа";162,000000
414;315,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1125 (начальная школа)";1125,000000;"125599, г. Москва, ул. Бусиновская Горка, дом 7, корпус 2";"Северный административный округ";"район Западное Дегунино";"Средняя общеобразовательная школа";162,000000
415;316,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №113";113,000000;"117437, г.Москва, ул. Профсоюзная, дом 118-Б";"Юго-Западный административный округ";"район Коньково";"Средняя общеобразовательная школа";567,000000
416;317,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1133";1133,000000;"121609 г.Москва, ул. Крылатские холмы, д.15,корп.1";"Западный административный округ";"район Крылатское";"Средняя общеобразовательная школа";761,000000
417;318,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1137";1137,000000;"129347, г.Москва, ул.Лосевская, д.9";"Северо-Восточный административный округ";"Ярославский район";"Средняя общеобразовательная школа";306,000000
418;319,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №114";114,000000;"125363, г.Москва, ул.Сходненская, д.35";"Северо-Западный административный округ";"район Южное Тушино";"Средняя общеобразовательная школа";121,000000
419;172,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1736";1736,000000;"115580 г.Москва, ул.Мусы Джалиля, д.29,к.3";"Южный административный округ";"район Зябликово";"Прогимназия";854,000000
420;177,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1782 (начальная школа)";1782,000000;"125310, г. Москва, ул. Барышиха, д. 42, корп. 1";"Северо-Западный административный округ";"район Митино";"Прогимназия";117,000000
421;179,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1819 (начальная школа)";1819,000000;"127572, г. Москва, ул. Абрамцевская, д. 24, корп. 2";"Северо-Восточный административный округ";"район Лианозово";"Прогимназия";238,000000
422;183,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1752";1752,000000;"107014, г. Москва, ул. Большая  Остроумовская,  дом 7";"Восточный административный округ";"район Сокольники";"Прогимназия";906,000000
423;185,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования №1650";1650,000000;"109240, г. Москва, ул. Солянка, дом 14А";"Центральный административный округ";"Таганский район";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";907,000000
424;186,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1121";1121,000000;"127247, г. Москва, Бескудниковский бульвар, дом 50б";"Северный административный округ";"Бескудниковский район";"Средняя общеобразовательная школа";908,000000
425;190,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1914";1914,000000;"111673, г. Москва, ул. Суздальская, д. 12В, стр. 1.";"Восточный административный округ";"район Новокосино";"Средняя общеобразовательная школа";909,000000
426;196,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1013";1013,000000;"119633 г. Москва, ул. Приречная, д.3";"Западный административный округ";"район Ново-Переделкино";"Средняя общеобразовательная школа ""Школа Здоровья""";759,000000
427;197,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1025";1025,000000;"111672, г. Москва, ул. Новокосинская,  д.  42А";"Восточный административный округ";"район Новокосино";"Средняя общеобразовательная школа ""Школа Здоровья""";818,000000
428;200,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1065";1065,000000;"117624, г.Москва, ул. Скобелевская, дом 28";"Юго-Западный административный округ";"район Южное Бутово";"Средняя общеобразовательная школа ""Школа Здоровья""";910,000000
429;206,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1349";1349,000000;"107370, г. Москва, Открытое ш., д.6, стр.12";"Восточный административный округ";"район Богородское";"Средняя общеобразовательная школа ""Школа Здоровья""";827,000000
430;209,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1849";1849,000000;"105568, г. Москва, ул. Челябинская, д. 9, стр. 1";"Восточный административный округ";"район Ивановское";"Средняя общеобразовательная школа ""Школа Здоровья""";839,000000
431;213,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №239";239,000000;"121353, г.Москва, ул.Вяземская, д. 7";"Западный административный округ";"Можайский район";"Средняя общеобразовательная школа ""Школа Здоровья""";762,000000
432;222,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №440";440,000000;"105203, г.Москва, Измайловский проспект, дом 115";"Восточный административный округ";"район Восточное Измайлово";"Средняя общеобразовательная школа ""Школа Здоровья""";832,000000
434;224,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №473";473,000000;"109429, г. Москва, Капотня, 2-й квартал, д.19 стр.1, стр.2";"Юго-Восточный административный округ";"район Капотня";"Средняя общеобразовательная школа ""Школа Здоровья""";450,000000
435;229,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №539";539,000000;"117246, г.Москва, улица Херсонская, дом 30, корпус 3";"Юго-Западный административный округ";"район Черёмушки";"Средняя общеобразовательная школа ""Школа Здоровья""";547,000000
