ID;NAME;COMPLEX_ID;NUMB;TYPE
159;Государственное бюджетное образовательное учреждение города Москвы лицей №1546 «Плехановец»;42;1546;
160;Государственное бюджетное образовательное учреждение города Москвы лицей №1548;42;1548;
2814;Государственное бюджетное образовательное учреждение города Москвы лицей №1557;808;1557;
286;Государственное бюджетное образовательное учреждение города Москвы лицей №1560 ;78;1560;
2059;Государственное бюджетное образовательное учреждение города Москвы лицей №1561;580;1561;
354;Государственное бюджетное образовательное учреждение города Москвы лицей №1564;99;1564;
943;Государственное бюджетное образовательное учреждение города Москвы лицей №1568;268;1568;
457;Государственное бюджетное образовательное учреждение города Москвы лицей №1571;131;1571;
169;Государственное бюджетное образовательное учреждение города Москвы лицей №1574;45;1574;
2693;Государственное бюджетное образовательное учреждение города Москвы лицей №1586;768;1586;
595;Государственное бюджетное образовательное учреждение города Москвы лицей №1594 ;180;1594;
2311;Государственное бюджетное образовательное учреждение города Москвы лицей №1598;660;1598;
1267;Государственное бюджетное образовательное учреждение города Москвы лицей №504;352;504;
402;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1090;114;1090;
2745;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1701;796;1701;
2754;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1702;789;1702;
2757;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1703;790;1703;
2743;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1704;801;1704;
213;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №132;131;132;
1353;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №1771;371;1771;
1827;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1604;586;1604;
2095;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1620;587;1620;
2114;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1649;591;1649;
