"","SCHOOL_OBJECTID","SCHOOL_ID","SCHOOL_NAME","SCHOOL_NUMB","ASSIGHED_OBJECTID","ASSIGNED_SCHOOL_ID","ASSIGHED_NAME","ASSIGHED_NUMB","COMPLEX_ID","HOUSE_ID_COUNT","SELF","ZERO_ASSIGNED"
"90",4,10063,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1627",1627,701,10638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №258",258,291,16,FALSE,FALSE
"91",3,10064,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1709",1709,701,10638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №258",258,291,16,FALSE,FALSE
"92",1914,10011,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1856",1856,718,10656,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №283",283,262,59,FALSE,FALSE
"93",161,10217,"Государственное бюджетное образовательное учреждение города Москвы лицей №1568",1568,732,10669,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №307",307,268,41,FALSE,FALSE
"94",137,10189,"Государственное бюджетное образовательное учреждение города Москвы гимназия «Государственная столичная гимназия»",NA,744,10683,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №332",332,250,36,FALSE,FALSE
"95",223,10120,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1530 «Школа Ломоносова»",1530,1096,10708,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №378",378,829,111,FALSE,FALSE
"96",224,10121,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1530 «Школа Ломоносова»",1530,1096,10708,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №378",378,829,111,FALSE,FALSE
"97",1993,10001,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №459",459,827,10763,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №481 имени Маршала Советского Союза И.Х. Баграмяна",481,499,39,FALSE,FALSE
"98",1928,10021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №530",530,829,10765,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №485",485,448,81,FALSE,FALSE
"99",665,10601,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1804 «Кожухово»",1804,829,10765,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №485",485,448,81,FALSE,FALSE
