"ID","WALKING_DURATION_215","WALKING_DISTANCE_215"
"942","1600","2192"
"943","1690","2306"
"944","1771","2417"
"945","1771","2418"
"946","1880","2572"
"947","1886","2594"
"948","1885","2593"
"949","2284","3163"
"950","2233","3089"
"951","1749","2397"
"952","1748","2396"
"953","1834","2506"
"954","1858","2543"
"955","1950","2675"
"956","1950","2675"
"957","2383","3310"
"958","2231","3093"
"959","2315","3214"
"960","2068","2876"
"961","1996","2773"
"962","1997","2781"
"963","2293","3204"
"964","2368","3313"
"965","1941","2697"
"966","2232","3113"
"967","2156","2999"
"968","2185","3039"
"969","1943","2702"
"970","2145","2981"
"971","2136","2972"
"972","2021","2807"
"973","2342","3274"
"974","1766","2443"
"975","1982","2746"
"976","1982","2746"
"977","1980","2747"
"978","1615","2241"
"979","1891","2619"
"980","1473","2028"
"981","1773","2446"
"982","1730","2374"
"983","1415","1941"
"984","1663","2292"
"985","1609","2217"
"986","1606","2212"
"987","2507","3529"
"988","1535","2115"
"989","1361","1866"
"990","1386","1898"
"991","1336","1829"
"992","2213","3084"
"993","2256","3149"
"994","3100","4320"
"995","3182","4433"
"996","3096","4311"
"997","3031","4218"
"998","2901","4029"
"999","3187","4447"
"1000","3302","4632"
"1001","3077","4320"
"1002","3033","4262"
"1003","3025","4251"
"1004","3057","4286"
"1005","3330","4668"
"1006","3004","4211"
"1007","2949","4124"
"1008","3118","4376"
"1009","3158","4435"
"1010","2953","4139"
"1011","2899","4067"
"1012","3174","4457"
"1013","3105","4367"
"1014","2435","3416"
"1015","2302","3216"
"1016","2213","3083"
"1017","2307","3225"
"1018","2188","3047"
"1019","2202","3065"
"1020","2221","3091"
"1021","2224","3090"
"1022","2194","3047"
"1023","2373","3318"
"1024","2014","2802"
"1025","1964","2731"
"1026","1945","2709"
"1027","2025","2802"
"1028","1884","2620"
"1029","1904","2643"
"1030","1866","2592"
"1031","1632","2267"
"1032","1756","2437"
"1033","1688","2329"
"1034","1583","2190"
"1035","1583","2190"
"1036","1486","2050"
"1037","2262","3152"
"1038","3399","4765"
"1039","3378","4736"
"1040","3194","4456"
"1041","3169","4416"
"1042","3122","4353"
"1043","3094","4314"
"1044","3096","4311"
"1045","2986","4151"
"1046","2940","4087"
"1047","2860","3966"
"1048","2822","3906"
"1049","2704","3738"
"1050","2753","3803"
"1051","2680","3714"
"1052","2702","3741"
"1053","2584","3597"
"1054","2563","3568"
"1055","2365","3277"
"1056","2307","3191"
"1057","2249","3108"
"1058","2105","2923"
"1059","2077","2876"
"1060","2075","2874"
"1061","3092","4367"
"1062","2950","4100"
"1063","3123","4393"
"1064","3093","4349"
"1065","3154","4436"
"1066","2955","4105"
"1067","3045","4278"
"1068","3082","4327"
"1069","3021","4236"
"1070","3022","4241"
"1071","2944","4117"
"1072","2933","4101"
"1073","2876","4017"
"1074","2972","4153"
"1075","2802","3913"
"1076","2753","3840"
"1077","2740","3821"
"1078","2703","3769"
"1079","3236","4562"
"1080","3211","4521"
"1081","3434","4830"
"1082","3186","4485"
"1083","3159","4444"
"1084","3383","4752"
"1085","3440","4830"
"1086","3391","4758"
"1087","3384","4746"
"1088","3139","4412"
"1089","3093","4345"
"1090","3065","4308"
"1091","3028","4255"
"1092","1830","2527"
"1093","1863","2575"
"1094","1798","2466"
"1095","1766","2419"
"1096","1842","2545"
"1097","1880","2603"
"1098","1798","2476"
"1099","1858","2556"
"1100","1769","2432"
"1101","1871","2570"
"1102","1708","2338"
"1103","1809","2482"
"1104","1708","2338"
"1105","2616","3624"
"1106","2568","3557"
"1107","2488","3449"
"1108","2478","3436"
"1109","2512","3484"
"1110","2465","3416"
"1111","2334","3244"
"1112","2386","3313"
"1113","2322","3224"
"1114","2611","3613"
"1115","2186","3039"
"1116","2147","2975"
"1117","2163","3003"
"1118","2090","2897"
"1119","2620","3611"
"1120","1993","2756"
"1121","1884","2603"
"1122","1951","2696"
"1123","1940","2683"
"1124","1804","2492"
"1125","1936","2669"
"1126","1858","2562"
"1127","2560","3529"
"1128","2556","3526"
"1129","2584","3578"
"1130","2948","4143"
"1131","3003","4221"
"1132","3012","4240"
"1133","2716","3810"
"1134","2768","3878"
"1135","2611","3655"
"1136","2694","3777"
"1137","2714","3804"
"1138","2531","3528"
"1139","2554","3563"
"1140","2781","3889"
"1141","2783","3890"
"1142","2889","4035"
"1143","2772","3879"
"1144","2571","3582"
"1145","2552","3556"
"1146","2499","3483"
"1147","2640","3690"
"1148","2822","3942"
"1149","2718","3790"
"1150","2611","3634"
"1151","2623","3656"
"1152","2660","3703"
"1153","2678","3729"
"1154","2860","4020"
"1155","2660","3698"
"1156","2555","3556"
"1157","2592","3601"
"1158","2612","3627"
"1159","2674","3713"
"1160","2711","3752"
"1161","2540","3534"
"1162","2546","3541"
"1163","2809","3880"
"1164","2763","3819"
"1165","2589","3597"
"1166","2614","3631"
"1167","2668","3708"
"1168","2666","3707"
"1169","2935","4124"
"1170","2680","3726"
