"ID","WALKING_DURATION_1","WALKING_DISTANCE_1","WALKING_DURATION_2","WALKING_DISTANCE_2","WALKING_DURATION_3","WALKING_DISTANCE_3","WALKING_DURATION_4","WALKING_DISTANCE_4","WALKING_DURATION_5","WALKING_DISTANCE_5"
"1092","455","628","276","388","584","805","916","1275","732","984"
"1093","547","762","375","531","682","948","1015","1418","654","889"
"1094","555","771","383","541","690","957","1023","1427","679","922"
"1095","621","862","385","540","587","813","919","1283","563","750"
"1096","653","905","376","525","565","781","893","1244","541","720"
"1097","451","625","362","511","670","927","1002","1397","782","1056"
"1098","560","775","326","456","629","871","962","1340","626","837"
"1099","387","536","385","541","700","960","1025","1427","805","1086"
"1100","502","695","270","380","577","796","910","1266","681","914"
"1101","542","747","272","378","579","795","912","1265","683","914"
"1102","358","495","404","563","671","920","1044","1448","811","1094"
"1198","1221","1660","628","849","360","498","183","262","977","1321"
"1199","781","1073","187","262","201","272","534","742","718","954"
"1200","664","912","71","101","317","433","650","903","834","1115"
"1201","836","1154","373","524","313","430","699","974","953","1284"
"1202","690","948","156","223","315","432","670","935","854","1147"
"1203","1203","1632","636","857","330","453","102","146","1024","1367"
"1204","1161","1575","567","765","300","414","212","303","914","1234"
"1205","1205","1636","612","825","303","417","125","179","999","1335"
"1206","1198","1629","625","844","270","372","159","228","1012","1354"
"1207","1094","1483","501","673","234","322","279","395","847","1142"
"1208","963","1303","370","492","167","230","423","594","701","922"
"1209","1081","1464","487","654","220","303","247","350","875","1164"
"1210","1117","1513","587","790","188","256","280","393","980","1305"
"1211","1132","1535","574","773","203","278","234","331","961","1283"
"1212","854","1174","260","363","234","315","567","785","751","997"
"1213","963","1309","925","1271","934","1285","1262","1750","398","568"
"1214","943","1273","820","1116","859","1173","1188","1638","323","456"
"1215","998","1350","844","1150","879","1192","1208","1657","267","378"
"1216","911","1238","754","1028","834","1139","1162","1605","375","531"
"1217","1029","1388","835","1134","796","1070","1124","1535","241","335"
"1218","973","1309","779","1056","738","988","1066","1453","302","417"
"1219","935","1261","741","1008","659","884","988","1349","269","375"
"1220","828","1111","635","857","683","924","1012","1389","401","554"
"1221","903","1244","310","433","298","408","631","877","815","1090"
"1222","851","1171","258","361","246","335","579","805","763","1017"
"1223","779","1081","451","634","486","678","820","1143","478","633"
"1224","718","994","379","530","471","653","804","1123","511","681"
"1225","789","1089","447","621","433","599","767","1065","507","661"
"1226","875","1198","301","415","379","514","712","984","693","915"
"1227","988","1357","394","546","382","521","715","990","899","1203"
"1228","938","1291","344","480","333","455","665","924","850","1137"
"1272","1100","1505","715","983","484","678","664","934","593","800"
"1273","1082","1465","552","741","153","207","305","427","945","1256"
"1274","1010","1365","417","554","81","107","390","546","804","1064"
"1275","1078","1459","548","736","149","202","286","399","941","1250"
"1276","1147","1555","630","847","218","297","215","302","1010","1346"
"1277","1206","1638","677","915","278","381","154","217","1069","1429"
"1278","998","1350","470","630","95","128","457","641","861","1141"
"1279","1190","1613","661","889","261","355","207","287","1053","1404"
"1280","1260","1709","731","985","331","451","129","178","1123","1500"
"1281","1320","1785","791","1062","391","528","189","254","1183","1577"
"1282","1126","1500","727","988","328","454","353","497","1120","1502"
"1283","1066","1410","637","857","238","323","303","421","1030","1372"
"1284","1153","1527","761","1025","361","491","322","445","1153","1539"
"1285","1141","1512","713","959","313","425","319","440","1105","1474"
"1286","1191","1579","743","999","343","465","289","396","1135","1513"
"1287","1129","1502","737","999","338","465","358","498","1129","1514"
"1288","1196","1584","778","1048","379","514","324","446","1170","1562"
"1289","1294","1768","865","1186","601","840","742","1047","723","983"
"1290","1133","1550","705","967","441","622","578","822","683","928"
"1291","1155","1581","727","998","462","653","642","909","584","795"
"1292","1163","1547","771","1045","371","511","438","609","1163","1559"
"1293","1040","1413","645","877","413","573","626","877","592","794"
"1294","1141","1561","548","750","281","399","389","558","814","1110"
"1295","1212","1654","652","890","385","540","493","699","762","1032"
"1296","1247","1707","654","897","387","546","234","344","1003","1368"
"1297","1263","1723","670","912","402","562","250","359","1019","1384"
"1298","1042","1414","564","763","327","454","568","797","647","850"
"1299","1082","1468","495","665","259","356","499","699","687","904"
"1300","1075","1459","482","648","214","298","323","457","801","1081"
"1301","1018","1377","425","567","189","258","429","601","753","994"
"1302","1060","1437","665","901","433","597","646","901","665","873"
"1303","631","862","158","216","465","633","798","1103","809","1075"
"1304","636","867","270","370","577","786","910","1256","718","951"
"1305","513","704","224","313","532","730","864","1200","761","1020"
"1306","501","690","233","326","540","743","873","1213","724","971"
"1307","517","716","238","338","545","755","878","1225","868","1165"
"1308","506","703","269","384","577","800","909","1270","805","1090"
"1309","492","684","213","306","520","723","853","1193","843","1133"
"1310","1005","1361","550","744","318","440","558","782","609","797"
"1311","691","956","353","492","500","690","833","1160","575","766"
"1312","955","1293","503","680","300","418","559","785","559","729"
"1313","611","841","377","521","662","911","995","1381","659","877"
"1314","793","1084","427","591","415","566","748","1036","542","706"
"1315","611","841","377","521","662","911","995","1381","659","877"
"1316","611","841","377","521","662","911","995","1381","659","877"
"1317","547","750","234","324","541","741","874","1211","728","972"
"1328","593","838","1213","1693","1480","2050","1853","2578","1643","2283"
"1329","623","879","1243","1735","1510","2092","1883","2620","1680","2334"
"1330","624","881","1244","1736","1511","2093","1884","2622","1679","2332"
"1331","567","803","1187","1658","1454","2016","1827","2544","1443","2010"
"1332","567","803","1186","1658","1454","2015","1826","2543","1443","2010"
"1338","490","706","1109","1561","1377","1918","1749","2446","1566","2179"
"1344","459","667","1078","1522","1346","1879","1718","2407","1535","2141"
"1354","456","662","1075","1517","1342","1875","1715","2403","1531","2136"
"1371","662","951","1281","1806","1548","2163","1921","2691","1737","2424"
"1467","517","711","602","836","909","1252","1242","1722","745","1020"
"1468","425","588","917","1271","1184","1629","1557","2157","1155","1584"
"1469","377","520","868","1203","1135","1561","1508","2089","1106","1516"
"1470","483","669","974","1353","1242","1710","1614","2238","1213","1665"
"1471","380","525","872","1208","1139","1565","1512","2094","1110","1520"
"1472","187","255","650","900","917","1257","1290","1785","1059","1449"
"1473","312","433","804","1116","1071","1473","1444","2001","1042","1428"
"1474","313","433","804","1117","1072","1474","1444","2002","1043","1429"
"1475","255","355","746","1038","1014","1396","1386","1924","985","1350"
"1476","282","393","774","1077","1041","1434","1414","1962","928","1272"
"1477","594","815","678","940","986","1357","1318","1827","822","1124"
"1478","585","791","675","924","982","1340","1315","1810","778","1080"
"1479","635","884","467","658","772","1076","1100","1538","630","862"
"1480","583","809","411","577","718","994","1051","1463","707","958"
"1481","552","743","618","847","925","1263","1288","1781","661","921"
"1482","602","805","695","955","1002","1371","1365","1889","738","1029"
"1483","582","778","711","977","1018","1394","1381","1912","730","1018"
"1484","582","778","711","977","1018","1394","1381","1912","730","1018"
"1485","645","854","775","1054","1069","1455","1398","1920","667","920"
"1486","645","854","775","1054","1069","1455","1398","1920","667","920"
"1487","645","854","775","1054","1069","1455","1398","1920","667","920"
"1488","645","854","775","1054","1069","1455","1398","1920","667","920"
"1489","638","852","662","907","970","1324","1332","1842","706","982"
"1490","615","855","442","624","710","989","1037","1452","577","781"
"1492","629","847","560","771","856","1175","1184","1640","573","804"
"1493","662","918","490","687","708","975","1035","1437","534","718"
"1494","718","968","613","830","802","1094","1131","1559","517","720"
"1495","712","958","636","868","868","1183","1197","1648","509","707"
"1496","766","1029","652","880","820","1112","1148","1577","487","673"
"1497","640","887","418","587","608","843","933","1301","500","663"
"1498","655","908","395","555","584","811","912","1273","522","695"
"1499","713","989","451","633","575","802","900","1255","485","644"
"1500","661","916","389","545","578","801","906","1264","518","689"
"1501","797","1070","603","816","690","937","1019","1402","408","567"
"1502","773","1034","580","780","747","1013","1076","1478","465","643"
"1503","757","1050","462","651","528","737","855","1194","438","579"
"1504","808","1120","513","721","480","670","809","1135","401","528"
"1505","1009","1351","749","1006","613","837","792","1093","317","441"
"1506","1068","1448","814","1091","698","950","877","1206","238","328"
"1507","1048","1430","663","909","460","647","717","1009","647","875"
"1508","1086","1477","691","940","458","636","672","941","683","919"
"1510","1183","1618","930","1261","789","1091","968","1348","540","747"
"1511","1302","1784","1049","1427","907","1258","1087","1514","659","914"
"1512","1341","1848","1088","1491","947","1322","1126","1578","698","978"
"1513","1396","1928","1143","1572","1001","1402","1181","1658","753","1058"
"1514","1321","1795","1058","1443","925","1281","1104","1538","218","319"
"1515","1615","2243","1338","1872","1074","1527","1253","1784","972","1372"
"1516","1692","2348","1414","1978","1150","1632","1329","1889","1049","1477"
"1517","1229","1685","976","1328","804","1129","983","1386","586","814"
"1707","1452","1959","1048","1412","869","1154","677","932","1514","2007"
"1708","1420","1916","1016","1369","837","1110","707","975","1482","1964"
"1709","1420","1916","1016","1369","837","1110","707","975","1482","1964"
"1710","1420","1916","1016","1369","837","1110","707","975","1482","1964"
"1711","1420","1916","1016","1369","837","1110","707","975","1482","1964"
"1712","1354","1826","950","1279","771","1021","771","1065","1416","1874"
"1713","1307","1764","902","1216","724","958","814","1127","1369","1812"
"1714","1247","1688","843","1141","664","883","845","1169","1309","1736"
"1747","67","85","589","807","857","1164","1229","1692","1071","1440"
"1748","315","427","469","644","737","1001","1109","1529","926","1244"
"1749","633","877","373","527","455","629","841","1173","1072","1453"
"1750","317","432","433","595","700","953","1073","1481","889","1195"
"1751","374","513","520","719","788","1076","1160","1604","977","1319"
"1752","654","895","257","360","338","460","724","1004","955","1283"
"1753","452","631","336","477","643","893","976","1363","791","1072"
"1754","721","997","369","520","436","600","821","1144","1076","1454"
"1755","707","972","303","425","313","427","642","860","953","1281"
"1756","813","1119","409","572","419","574","765","1028","1059","1428"
"1757","504","700","190","275","498","691","830","1161","867","1165"
