"ID","WALKING_DURATION","WALKING_DISTANCE"
"964","3467","4742"
"965","3040","4126"
"966","3285","4489"
"967","3220","4390"
"968","3248","4429"
"969","3029","4114"
"970","3208","4371"
"971","3199","4363"
"972","3105","4215"
"973","3441","4703"
"974","2870","3878"
"975","3068","4159"
"976","3068","4158"
"977","3079","4176"
"978","2818","3816"
"979","2978","4031"
"980","2654","3583"
"981","2859","3858"
"982","2816","3787"
"983","2589","3488"
"984","2749","3703"
"985","2704","3634"
"986","2701","3629"
"987","3562","4913"
"988","2690","3635"
"989","2535","3411"
"990","2560","3444"
"991","2511","3375"
"992","3296","4500"
"993","3355","4578"
"994","4234","5788"
"995","4292","5864"
"996","4231","5779"
"997","4165","5686"
"998","4035","5497"
"999","4365","5977"
"1000","4411","6063"
"1001","4154","5730"
"1002","4110","5672"
"1003","4102","5661"
"1004","4133","5696"
"1005","4439","6100"
"1006","4081","5621"
"1007","4025","5536"
"1008","4192","5785"
"1009","4232","5844"
"1010","4029","5550"
"1011","3975","5477"
"1012","4249","5866"
"1013","4179","5776"
"1014","3544","4857"
"1015","3385","4632"
"1016","3312","4512"
"1017","3416","4666"
"1018","3288","4476"
"1019","3311","4506"
"1020","3330","4532"
"1021","3311","4502"
"1022","3280","4459"
"1023","3472","4748"
"1024","3129","4245"
"1025","3069","4169"
"1026","3060","4152"
"1027","3140","4245"
"1028","2999","4063"
"1029","3009","4081"
"1030","3079","4161"
"1031","2836","3841"
"1032","2923","3944"
"1033","2891","3903"
"1034","2757","3737"
"1035","2757","3737"
"1036","2660","3597"
"1037","3345","4569"
"1038","4508","6196"
"1039","4488","6168"
"1040","4328","5924"
"1041","4303","5884"
"1042","4256","5822"
"1043","4228","5783"
"1044","4199","5731"
"1045","4119","5623"
"1046","4072","5558"
"1047","3994","5434"
"1048","3956","5374"
"1049","3842","5206"
"1050","3891","5271"
"1051","3818","5182"
"1052","3840","5209"
"1053","3718","5065"
"1054","3697","5036"
"1055","3540","4824"
"1056","3481","4738"
"1057","3423","4655"
"1058","3308","4498"
"1059","3280","4451"
"1060","3278","4448"
"1061","4169","5777"
"1062","3863","5276"
"1063","4165","5746"
"1064","4135","5701"
"1065","4196","5788"
"1066","3868","5281"
"1067","4088","5631"
"1068","4095","5640"
"1069","4063","5589"
"1070","4027","5543"
"1071","3986","5469"
"1072","3975","5454"
"1073","3918","5369"
"1074","4014","5505"
"1075","3805","5212"
"1076","3756","5139"
"1077","3743","5122"
"1078","3706","5069"
"1079","4266","5901"
"1080","4235","5851"
"1081","4543","6261"
"1082","4211","5815"
"1083","4183","5774"
"1084","4459","6162"
"1085","4549","6261"
"1086","4500","6189"
"1087","4494","6178"
"1088","4153","5725"
"1089","4098","5647"
"1090","4070","5611"
"1091","4033","5558"
"1092","2428","3269"
"1093","2461","3317"
"1094","2457","3285"
"1095","2425","3238"
"1096","2481","3337"
"1097","2519","3394"
"1098","2371","3183"
"1099","2529","3389"
"1100","2409","3228"
"1101","2519","3375"
"1102","2276","3031"
"1103","2468","3301"
"1104","2275","3031"
"1105","3750","5092"
"1106","3703","5026"
"1107","3616","4905"
"1108","3612","4904"
"1109","3646","4952"
"1110","3599","4884"
"1111","3475","4720"
"1112","3528","4789"
"1113","3437","4667"
"1114","3745","5081"
"1115","3390","4616"
"1116","3351","4550"
"1117","3367","4580"
"1118","3264","4444"
"1119","3707","5024"
"1120","3167","4303"
