"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"40022";"138";"185"
"40023";"583";"813"
"40024";"332";"461"
"40025";"318";"445"
"40026";"243";"341"
"40027";"147";"211"
"40028";"271";"380"
"40029";"148";"211"
"40030";"157";"221"
"40031";"158";"223"
"40032";"196";"273"
"40033";"233";"323"
"40034";"123";"170"
"40035";"221";"306"
"40036";"825";"1110"
"40037";"503";"664"
"40038";"225";"310"
"40039";"179";"249"
"40040";"115";"161"
"40041";"570";"774"
"40042";"181";"250"
"40043";"158";"228"
"40044";"172";"244"
"40045";"41";"63"
"40046";"525";"692"
"40047";"324";"406"
"40048";"483";"591"
"40049";"353";"434"
"40050";"249";"317"
"40051";"249";"317"
"40052";"583";"720"
"40053";"550";"672"
"40054";"340";"431"
"40055";"212";"286"
"40056";"212";"286"
"40057";"261";"333"
"40058";"51";"72"
"40059";"129";"176"
"40060";"175";"241"
"40061";"370";"471"
"40062";"423";"525"
"40063";"842";"1068"
"40064";"999";"1268"
"40065";"624";"830"
"40066";"616";"789"
"40067";"639";"790"
"40068";"657";"818"
"40069";"705";"880"
"40070";"396";"510"
"40071";"330";"426"
"40072";"270";"350"
"40073";"1048";"1354"
"40074";"1007";"1299"
"40075";"987";"1268"
"40076";"776";"978"
"40077";"307";"390"
"40078";"214";"266"
"40079";"300";"426"
"40080";"503";"664"
"40081";"696";"873"
"40082";"624";"830"
"40083";"735";"945"
"40084";"3305";"4456"
"40085";"48";"78"
"40086";"276";"380"
"40087";"407";"557"
"40088";"64";"80"
"40089";"213";"292"
"40090";"248";"347"
"40091";"212";"292"
"40092";"349";"481"
"40093";"431";"596"
"40094";"364";"481"
"40095";"353";"490"
"40096";"352";"493"
"40097";"152";"213"
"40098";"356";"492"
"40099";"200";"284"
"40100";"191";"287"
"40101";"34";"50"
"40102";"80";"108"
"40103";"141";"210"
"40104";"286";"432"
"40105";"221";"272"
"40106";"379";"562"
"40107";"214";"307"
"40108";"89";"115"
"40109";"202";"254"
"40110";"364";"455"
"40111";"448";"563"
"40112";"438";"590"
"40113";"84";"115"
"40114";"26";"38"
"40115";"179";"244"
"40116";"230";"313"
"40117";"178";"242"
"40118";"171";"250"
"40119";"172";"254"
"40120";"103";"153"
"40121";"264";"387"
"40122";"119";"163"
"40123";"214";"314"
"40124";"261";"387"
"40125";"230";"341"
"40126";"270";"395"
"40127";"340";"501"
"40128";"604";"886"
"40129";"199";"256"
"40130";"227";"296"
"40131";"196";"259"
"40132";"220";"304"
"40133";"253";"349"
"40134";"260";"364"
"40135";"307";"428"
"40136";"462";"645"
"40137";"553";"769"
"40138";"306";"420"
"40139";"362";"490"
"40140";"562";"760"
"40141";"600";"819"
"40142";"614";"849"
"40143";"295";"408"
"40144";"345";"479"
"40145";"376";"530"
"40146";"375";"528"
"40147";"291";"399"
"40148";"301";"414"
"40149";"341";"470"
"40150";"371";"503"
"40151";"1";"1"
"40152";"2";"3"
"40153";"294";"408"
"40154";"70";"105"
"40155";"107";"153"
"40156";"138";"190"
"40157";"84";"119"
"40158";"345";"480"
"40159";"155";"212"
"40160";"309";"437"
"40161";"21";"24"
"40162";"136";"196"
"40163";"1";"1"
"40164";"78";"101"
"0";"";""
"0";"";""
"0";"";""
"0";"";""
