"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"POINT_X";"POINT_Y";"ID";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
2625;"Москва, Каховка ул, д.22, корп.2";" ";" ";" ";"Россия, Москва, улица Каховка, 22к2";37,567698;55,658967;16609;1688;0,002032;37,569371;55,660122
2626;"Москва, Каховка ул, д.22, корп.3";" ";" ";" ";"Россия, Москва, улица Каховка, 22к3";37,567545;55,659423;16610;1688;0,001954;37,569371;55,660122
2627;"Москва, Каховка ул, д.22, корп.4";" ";" ";" ";"Россия, Москва, улица Каховка, 22к4";37,567436;55,659886;16611;1688;0,001948;37,569371;55,660122
2628;"Москва, Каховка ул, д.22, корп.5";" ";" ";" ";"Россия, Москва, улица Каховка, 22к5";37,569180;55,658850;16612;1688;0,001286;37,569371;55,660122
2629;"Москва, Каховка ул, д.24";" ";" ";" ";"Россия, Москва, улица Каховка, 24";37,565191;55,659104;16613;2095;0,003051;37,566819;55,656522
2630;"Москва, Каховка ул, д.26";" ";" ";" ";"Россия, Москва, улица Каховка, 26";37,564337;55,659475;16614;2095;0,003856;37,566819;55,656522
2631;"Москва, Перекопская ул, д.17, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 17к1";37,572548;55,660353;16615;350;0,002543;37,570382;55,661684
2632;"Москва, Перекопская ул, д.17, корп.2";" ";" ";" ";"Россия, Москва, Перекопская улица, 17к2";37,572540;55,659881;16616;350;0,002812;37,570382;55,661684
2633;"Москва, Перекопская ул, д.17, корп.3";" ";" ";" ";"Россия, Москва, Перекопская улица, 17к3";37,571398;55,659971;16617;350;0,001991;37,570382;55,661684
2634;"Москва, Перекопская ул, д.17, корп.4";" ";" ";" ";"Россия, Москва, Перекопская улица, 17к4";37,571515;55,659403;16618;1688;0,002261;37,569371;55,660122
2635;"Москва, Перекопская ул, д.17, корп.5";" ";" ";" ";"Россия, Москва, Перекопская улица, 17к5";37,570096;55,659596;16619;1688;0,000895;37,569371;55,660122
2636;"Москва, Перекопская ул, д.21, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 21к1";37,567086;55,660870;16620;1688;0,002403;37,569371;55,660122
2637;"Москва, Перекопская ул, д.21, корп.2";" ";" ";" ";"Россия, Москва, Перекопская улица, 21к2";37,567886;55,660454;16621;1688;0,001520;37,569371;55,660122
2638;"Москва, Перекопская ул, д.22";" ";" ";" ";"Россия, Москва, Перекопская улица, 22";37,574139;55,661247;16622;350;0,003782;37,570382;55,661684
2639;"Москва, Перекопская ул, д.22, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 22к1";37,573913;55,662561;16623;350;0,003639;37,570382;55,661684
2640;"Москва, Перекопская ул, д.24";" ";" ";" ";"Россия, Москва, Перекопская улица, 24";37,572368;55,661389;16624;350;0,002008;37,570382;55,661684
2641;"Москва, Перекопская ул, д.25, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 25к1";37,566000;55,660567;16625;1688;0,003400;37,569371;55,660122
2642;"Москва, Перекопская ул, д.25, корп.2";" ";" ";" ";"Россия, Москва, Перекопская улица, 25к2";37,566144;55,660094;16626;1688;0,003227;37,569371;55,660122
2643;"Москва, Перекопская ул, д.26";" ";" ";" ";"Россия, Москва, Перекопская улица, 26";37,571865;55,662065;16627;350;0,001532;37,570382;55,661684
2644;"Москва, Перекопская ул, д.26, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 26к1";37,572018;55,662978;16628;350;0,002087;37,570382;55,661684
2645;"Москва, Перекопская ул, д.27, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 27к1";37,565191;55,660474;16629;1688;0,004193;37,569371;55,660122
2646;"Москва, Перекопская ул, д.27, корп.2";" ";" ";" ";"Россия, Москва, Перекопская улица, 27к2";37,565317;55,660088;16630;2095;0,003870;37,566819;55,656522
2647;"Москва, Перекопская ул, д.29";" ";" ";" ";"Россия, Москва, Перекопская улица, 29";37,564518;55,660088;16631;2095;0,004244;37,566819;55,656522
2648;"Москва, Перекопская ул, д.30";" ";" ";" ";"Россия, Москва, Перекопская улица, 30";37,568999;55,662126;16632;350;0,001450;37,570382;55,661684
2649;"Москва, Перекопская ул, д.30, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 30к1";37,569962;55,663217;16633;350;0,001589;37,570382;55,661684
2650;"Москва, Перекопская ул, д.30, корп.2";" ";" ";" ";"Россия, Москва, Перекопская улица, 30к2";37,568137;55,662587;16634;350;0,002419;37,570382;55,661684
2651;"Москва, Перекопская ул, д.34";" ";" ";" ";"Россия, Москва, Перекопская улица, 34";37,565658;55,661312;16635;1688;0,003898;37,569371;55,660122
2652;"Москва, Перекопская ул, д.34, корп.1";" ";" ";" ";"Россия, Москва, Перекопская улица, 34к1";37,566385;55,662085;16636;1688;0,003572;37,569371;55,660122
2653;"Москва, Севастопольский пр-кт, д.28";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 28";37,573284;55,659580;16637;350;0,003584;37,570382;55,661684
2654;"Москва, Севастопольский пр-кт, д.28, корп.3";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 28к3";37,576178;55,663912;16638;383;0,006060;37,581644;55,661296
2655;"Москва, Севастопольский пр-кт, д.28, корп.5";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 28к5";37,574624;55,662989;16639;350;0,004438;37,570382;55,661684
2656;"Москва, Севастопольский пр-кт, д.28, корп.6";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 28к6";37,574928;55,664563;16640;350;0,005381;37,570382;55,661684
2657;"Москва, Севастопольский пр-кт, д.28, корп.7";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 28к7";37,574274;55,664426;16641;350;0,004760;37,570382;55,661684
2658;"Москва, Севастопольский пр-кт, д.28, корп.8";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 28к8";37,575953;55,664516;16642;350;0,006249;37,570382;55,661684
2659;"Москва, Севастопольский пр-кт, д.30";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 30";37,572890;55,659302;16643;350;0,003458;37,570382;55,661684
2660;"Москва, Севастопольский пр-кт, д.32";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 32";37,572243;55,658652;16644;1688;0,003226;37,569371;55,660122
2661;"Москва, Севастопольский пр-кт, д.34";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 34";37,571865;55,658367;16645;1688;0,003049;37,569371;55,660122
2662;"Москва, Севастопольский пр-кт, д.36";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 36";37,571246;55,657712;16646;1688;0,003052;37,569371;55,660122
2663;"Москва, Севастопольский пр-кт, д.38";" ";" ";" ";"Россия, Москва, Севастопольский проспект, 38";37,570868;55,657428;16647;1688;0,003082;37,569371;55,660122
2664;"Москва, Богучарская ул, д.9";" ";" ";" ";"Россия, Москва, Богучарская улица, 9с1";37,571766;55,549204;16648;520;0,003822;37,568882;55,551712
2665;"Москва, Изюмская ул, д.39";" ";" ";" ";"Россия, Москва, Изюмская улица, 39к1";37,569170;55,549922;16649;520;0,001812;37,568882;55,551712
2666;"Москва, Новобутовская ул, д.15";" ";" ";" ";"Россия, Москва, Новобутовская улица, 15к1";37,566665;55,550830;16650;520;0,002386;37,568882;55,551712
2667;"Москва, Новобутовская ул, д.3";" ";" ";" ";"Россия, Москва, Новобутовская улица, 3с1";37,563269;55,552845;16651;721;0,003012;37,563249;55,549834
2668;"Москва, Новооскольская ул, д.35";" ";" ";" ";"Россия, Москва, Новооскольская улица, 35с1";37,574749;55,549170;16652;520;0,006394;37,568882;55,551712
2669;"Москва, 1-й Богучарский пер, д.10";" ";" ";" ";"Россия, Москва, 1-й Богучарский переулок, 10";37,573168;55,551852;16653;520;0,004289;37,568882;55,551712
2670;"Москва, 1-й Богучарский пер, д.11";" ";" ";" ";"Россия, Москва, 1-й Богучарский переулок, 11";37,572835;55,552025;16654;520;0,003966;37,568882;55,551712
2671;"Москва, 1-й Богучарский пер, д.8";" ";" ";" ";"Россия, Москва, 1-й Богучарский переулок, 8";37,573868;55,551517;16655;520;0,004990;37,568882;55,551712
2672;"Москва, 1-й Богучарский пер, д.9";" ";" ";" ";"Россия, Москва, 1-й Богучарский переулок, 9";37,573510;55,551711;16656;520;0,004628;37,568882;55,551712
2673;"Москва, 2-й Богучарский пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 10";37,573985;55,550411;16657;520;0,005266;37,568882;55,551712
2674;"Москва, 2-й Богучарский пер, д.10А";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 10а";37,574398;55,550253;16658;520;0,005706;37,568882;55,551712
2675;"Москва, 2-й Богучарский пер, д.12";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 12";37,574946;55,549902;16659;520;0,006329;37,568882;55,551712
2676;"Москва, 2-й Богучарский пер, д.14";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 14";37,574767;55,549623;16660;520;0,006245;37,568882;55,551712
2677;"Москва, 2-й Богучарский пер, д.5";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 5";37,572880;55,551380;16661;520;0,004012;37,568882;55,551712
2678;"Москва, 2-й Богучарский пер, д.7";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 7";37,573437;55,551166;16662;520;0,004588;37,568882;55,551712
2679;"Москва, 2-й Богучарский пер, д.8";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 8";37,573186;55,550880;16663;520;0,004384;37,568882;55,551712
2680;"Москва, 2-й Богучарский пер, д.9";" ";" ";" ";"Россия, Москва, 2-й Богучарский переулок, 9";37,573949;55,550900;16664;520;0,005132;37,568882;55,551712
2681;"Москва, 2-я Белогорская ул, д.2/7";" ";" ";" ";"Россия, Москва, 2-я Белогорская улица, 2/7";37,583904;55,550952;16665;521;0,007826;37,581618;55,543467
2682;"Москва, 2-я Белогорская ул, д.3";" ";" ";" ";"Россия, Москва, 2-я Белогорская улица, 3";37,583454;55,551257;16666;521;0,008003;37,581618;55,543467
2683;"Москва, 2-я Белогорская ул, д.6";" ";" ";" ";"Россия, Москва, 2-я Белогорская улица, 6";37,584137;55,551573;16667;521;0,008488;37,581618;55,543467
2684;"Москва, 2-я Белогорская ул, д.7";" ";" ";" ";"Россия, Москва, 2-я Белогорская улица, 7";37,583652;55,551863;16668;521;0,008638;37,581618;55,543467
2685;"Москва, 2-я Белогорская ул, д.9";" ";" ";" ";"Россия, Москва, 2-я Белогорская улица, 9";37,583660;55,552235;16669;521;0,009002;37,581618;55,543467
2686;"Москва, 2-я Горловская ул, д.2/7";" ";" ";" ";"Россия, Москва, 2-я Горловская улица, 2/7";37,582134;55,549805;16670;521;0,006359;37,581618;55,543467
2687;"Москва, 2-я Горловская ул, д.4";" ";" ";" ";"Россия, Москва, 2-я Горловская улица, 4";37,581962;55,550156;16671;521;0,006698;37,581618;55,543467
2688;"Москва, 2-я Северодонецкая ул, д.1/6";" ";" ";" ";"Россия, Москва, 2-я Северодонецкая улица";37,567716;55,550584;16672;520;0,001621;37,568882;55,551712
2689;"Москва, Алексинская ул, д.13А";" ";" ";" ";"Россия, Москва, Алексинская улица";37,572467;55,547977;16673;520;0,005177;37,568882;55,551712
2690;"Москва, Алексинская ул, д.14";" ";" ";" ";"Россия, Москва, Алексинская улица";37,572467;55,547977;16674;520;0,005177;37,568882;55,551712
2691;"Москва, Богучарская ул, д.3";" ";" ";" ";"Россия, Москва, Богучарская улица, 3";37,573339;55,550366;16675;520;0,004655;37,568882;55,551712
2692;"Москва, Изюмская ул, д.37, корп.1";" ";" ";" ";"Россия, Москва, Изюмская улица, 37к1";37,569422;55,550605;16676;520;0,001231;37,568882;55,551712
2693;"Москва, Изюмская ул, д.37, корп.2";" ";" ";" ";"Россия, Москва, Изюмская улица, 37к2";37,570644;55,550753;16677;520;0,002006;37,568882;55,551712
2694;"Москва, Изюмская ул, д.37, корп.3";" ";" ";" ";"Россия, Москва, Изюмская улица, 37к3";37,571901;55,551049;16678;520;0,003091;37,568882;55,551712
2695;"Москва, Изюмская ул, д.37, корп.4";" ";" ";" ";"Россия, Москва, Изюмская улица, 37к4";37,570967;55,551537;16679;520;0,002093;37,568882;55,551712
2696;"Москва, Изюмская ул, д.39, корп.1";" ";" ";" ";"Россия, Москва, Изюмская улица, 39к1";37,569170;55,549922;16680;520;0,001812;37,568882;55,551712
2697;"Москва, Изюмская ул, д.39, корп.2";" ";" ";" ";"Россия, Москва, Изюмская улица, 39к2";37,571246;55,550163;16681;520;0,002826;37,568882;55,551712
2698;"Москва, Изюмская ул, д.43";" ";" ";" ";"Россия, Москва, Изюмская улица, 43";37,569099;55,549021;16682;520;0,002698;37,568882;55,551712
2699;"Москва, Изюмская ул, д.43, корп.1";" ";" ";" ";"Россия, Москва, Изюмская улица, 43к1";37,570751;55,549398;16683;520;0,002974;37,568882;55,551712
2700;"Москва, Изюмская ул, д.43, корп.2";" ";" ";" ";"Россия, Москва, Изюмская улица, 43к2";37,571748;55,549618;16684;520;0,003550;37,568882;55,551712
2701;"Москва, Изюмская ул, д.43, корп.3";" ";" ";" ";"Россия, Москва, Изюмская улица, 43к3";37,570546;55,548782;16685;520;0,003369;37,568882;55,551712
2702;"Москва, Изюмская ул, д.45";" ";" ";" ";"Россия, Москва, Изюмская улица, 45";37,567275;55,548024;16686;1555;0,003424;37,563853;55,548120
2703;"Москва, Изюмская ул, д.45, корп.1";" ";" ";" ";"Россия, Москва, Изюмская улица, 45к1";37,568532;55,548024;16687;520;0,003704;37,568882;55,551712
2704;"Москва, Изюмская ул, д.45, корп.2";" ";" ";" ";"Россия, Москва, Изюмская улица, 45к2";37,570104;55,547743;16688;520;0,004152;37,568882;55,551712
2705;"Москва, Изюмская ул, д.47";" ";" ";" ";"Россия, Москва, Изюмская улица, 47";37,566691;55,547213;16689;1555;0,002980;37,563853;55,548120
2706;"Москва, Изюмская ул, д.47, корп.1";" ";" ";" ";"Россия, Москва, Изюмская улица, 47к1";37,567904;55,547605;16690;1555;0,004084;37,563853;55,548120
2707;"Москва, Изюмская ул, д.47, корп.2";" ";" ";" ";"Россия, Москва, Изюмская улица, 47к2";37,567517;55,546990;16691;1555;0,003835;37,563853;55,548120
2708;"Москва, Изюмская ул, д.47, корп.3";" ";" ";" ";"Россия, Москва, Изюмская улица, 47к3";37,568596;55,547148;16692;520;0,004572;37,568882;55,551712
2709;"Москва, Изюмская ул, д.47, корп.4";" ";" ";" ";"Россия, Москва, Изюмская улица, 47к4";37,569459;55,547204;16693;520;0,004544;37,568882;55,551712
2710;"Москва, Изюмская ул, д.47, корп.5";" ";" ";" ";"Россия, Москва, Изюмская улица, 47к5";37,569728;55,546791;16694;520;0,004993;37,568882;55,551712
2711;"Москва, Коммунарская ул, д.1";" ";" ";" ";"Россия, Москва";37,564947;55,542621;16695;752;0,003526;37,561426;55,542800
2712;"Москва, Коммунарская ул, д.19";" ";" ";" ";"Россия, Москва";37,567857;55,544816;16696;1555;0,005191;37,563853;55,548120
2713;"Москва, Коммунарская ул, д.19А";" ";" ";" ";"Россия, Москва";37,566687;55,543972;16697;1555;0,005023;37,563853;55,548120
2714;"Москва, Коммунарская ул, д.21";" ";" ";" ";"Россия, Москва";37,568584;55,545848;16698;1555;0,005248;37,563853;55,548120
2715;"Москва, Коммунарская ул, д.24";" ";" ";" ";"Россия, Москва";37,567721;55,545566;16699;1555;0,004635;37,563853;55,548120
2716;"Москва, Коммунарская ул, д.26";" ";" ";" ";"Россия, Москва";37,567935;55,546211;16700;1555;0,004506;37,563853;55,548120
2717;"Москва, Коммунарская ул, д.4";" ";" ";" ";"Россия, Москва";37,564498;55,543101;16701;752;0,003087;37,561426;55,542800
2718;"Москва, Новобутовская ул, д.11";" ";" ";" ";"Россия, Москва, Новобутовская улица, 11ас1";37,565317;55,551623;16702;721;0,002735;37,563249;55,549834
2719;"Москва, Новобутовская ул, д.13";" ";" ";" ";"Россия, Москва, Новобутовская улица, 13";37,565749;55,551334;16703;721;0,002915;37,563249;55,549834
2720;"Москва, Новобутовская ул, д.15, корп.1";" ";" ";" ";"Россия, Москва, Новобутовская улица, 15к1";37,566665;55,550830;16704;520;0,002386;37,568882;55,551712
2721;"Москва, Новобутовская ул, д.2";" ";" ";" ";"Россия, Москва, Новобутовская улица, 2";37,563431;55,553589;16705;721;0,003760;37,563249;55,549834
2722;"Москва, Новобутовская ул, д.4";" ";" ";" ";"Россия, Москва, Новобутовская улица, 4";37,563000;55,553222;16706;721;0,003398;37,563249;55,549834
2723;"Москва, Новобутовская ул, д.5";" ";" ";" ";"Россия, Москва, Новобутовская улица, 5";37,563036;55,552713;16707;721;0,002887;37,563249;55,549834
2724;"Москва, Новобутовская ул, д.6";" ";" ";" ";"Россия, Москва, Новобутовская улица, 6";37,562720;55,553024;16708;721;0,003234;37,563249;55,549834
2725;"Москва, Новобутовская ул, д.6А";" ";" ";" ";"Россия, Москва, Новобутовская улица, 6а";37,562307;55,553273;16709;721;0,003566;37,563249;55,549834
2726;"Москва, Новобутовская ул, д.7";" ";" ";" ";"Россия, Москва, Новобутовская улица, 7";37,562756;55,552458;16710;721;0,002670;37,563249;55,549834
2727;"Москва, Новобутовская ул, д.7А";" ";" ";" ";"Россия, Москва, Новобутовская улица, 7а";37,561022;55,553116;16711;721;0,003965;37,563249;55,549834
2728;"Москва, Новобутовская ул, д.7Б";" ";" ";" ";"Россия, Москва, Новобутовская улица, 7б";37,561094;55,553366;16712;721;0,004136;37,563249;55,549834
2729;"Москва, Новобутовская ул, д.8";" ";" ";" ";"Россия, Москва, Новобутовская улица, 8";37,562226;55,552805;16713;721;0,003142;37,563249;55,549834
2730;"Москва, Новобутовская ул, д.8Б";" ";" ";" ";"Россия, Москва, Новобутовская улица, 8";37,562226;55,552805;16714;721;0,003142;37,563249;55,549834
