OBJECTID;ADDRESS;settlement;street;building_n;geocoded;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
4929;Москва, Таганская ул, д.32/1, стр.1; ; ; ;Россия, Москва, Таганская улица, 32/1с1;12384;37.664896;55.739482;1964;0.003692;37.66816;55.74121
4930;Москва, Таганская ул, д.32/1, стр.7; ; ; ;Россия, Москва, Таганская улица, 32/1с7;12385;37.664966;55.738966;1964;0.003902;37.66816;55.74121
4931;Москва, Таганская ул, д.34, стр.1; ; ; ;Россия, Москва, Таганская улица, 34с1;12386;37.665848;55.739345;1964;0.002969;37.66816;55.74121
4932;Москва, Таганская ул, д.34, стр.3; ; ; ;Россия, Москва, Таганская улица, 34с3;12387;37.665632;55.738778;1964;0.003507;37.66816;55.74121
4933;Москва, Таганская ул, д.36, корп.2; ; ; ;Россия, Москва, Таганская улица, 36к2;12388;37.666629;55.738889;1964;0.002779;37.66816;55.74121
4934;Москва, Таганская ул, д.36, стр.3; ; ; ;Россия, Москва, Таганская улица, 36с3;12389;37.666162;55.73856;1964;0.003318;37.66816;55.74121
4935;Москва, Таганская ул, д.38, стр.1; ; ; ;Россия, Москва, Таганская улица, 38с1;12390;37.666728;55.739296;1964;0.00239;37.66816;55.74121
4936;Москва, Таганская ул, д.38, стр.2; ; ; ;Россия, Москва, Таганская улица, 38с1;12391;37.666728;55.739296;1964;0.00239;37.66816;55.74121
4937;Москва, Таганская ул, д.40, стр.1А; ; ; ;Россия, Москва, Таганская улица, 40с1а;12392;37.666162;55.738166;1715;0.003406;37.668418;55.735614
4938;Москва, Таганская ул, д.40, стр.2; ; ; ;Россия, Москва, Таганская улица, 40с2;12393;37.666674;55.738536;1964;0.003059;37.66816;55.74121
4939;Москва, Таганская ул, д.40-42; ; ; ;Россия, Москва, Таганская улица, 40-42;12394;37.66732;55.738865;1964;0.00249;37.66816;55.74121
4940;Москва, Таганская ул, д.40-42, стр.6; ; ; ;Россия, Москва, Таганская улица, 40-42с7;12395;37.669612;55.737075;1715;0.001887;37.668418;55.735614
4941;Москва, Таганская ул, д.44; ; ; ;Россия, Москва, Таганская улица, 44;12396;37.669091;55.739072;1964;0.00233;37.66816;55.74121
4942;Москва, Таганская ул, д.58, стр.1; ; ; ;Россия, Москва, Таганская улица, 58с1;12397;37.670653;55.738181;1715;0.003404;37.668418;55.735614
4943;Москва, Таганская ул, д.58, стр.2; ; ; ;Россия, Москва, Таганская улица, 58с2;12398;37.670878;55.737522;1722;0.002956;37.67257;55.735097
4944;Москва, Товарищеский пер, д.1, стр.3; ; ; ;Россия, Москва, Товарищеский переулок, 1с3;12399;37.657627;55.741433;2105;0.001926;37.656554;55.743033
4945;Москва, Товарищеский пер, д.10, стр.1; ; ; ;Россия, Москва, Товарищеский переулок, 10с1;12400;37.662344;55.742305;1529;0.00295;37.664809;55.743927
4946;Москва, Товарищеский пер, д.10, стр.2; ; ; ;Россия, Москва, Товарищеский переулок, 10с2;12401;37.662622;55.742112;1529;0.00284;37.664809;55.743927
4947;Москва, Товарищеский пер, д.13; ; ; ;Россия, Москва, Товарищеский переулок, 13;12402;37.662173;55.742538;1529;0.002978;37.664809;55.743927
4948;Москва, Товарищеский пер, д.17, стр.1; ; ; ;Россия, Москва, Товарищеский переулок, 17с1;12403;37.663736;55.742989;1529;0.001423;37.664809;55.743927
4949;Москва, Товарищеский пер, д.19; ; ; ;Россия, Москва, Товарищеский переулок, 19;12404;37.663925;55.743415;1529;0.001021;37.664809;55.743927
4950;Москва, Товарищеский пер, д.20, стр.1; ; ; ;Россия, Москва, Товарищеский переулок, 20с1;12405;37.664257;55.742857;1529;0.001202;37.664809;55.743927
4951;Москва, Товарищеский пер, д.20, стр.2; ; ; ;Россия, Москва, Товарищеский переулок, 20с2;12406;37.664743;55.742686;1529;0.001242;37.664809;55.743927
4952;Москва, Товарищеский пер, д.21; ; ; ;Россия, Москва, Товарищеский переулок, 21;12407;37.664823;55.743796;1529;0.000131;37.664809;55.743927
4953;Москва, Товарищеский пер, д.22; ; ; ;Россия, Москва, Товарищеский переулок, 22;12408;37.665218;55.743137;1529;0.00089;37.664809;55.743927
4954;Москва, Товарищеский пер, д.23, стр.1; ; ; ;Россия, Москва, Товарищеский переулок, 23с1;12409;37.665659;55.743764;1529;0.000865;37.664809;55.743927
4955;Москва, Товарищеский пер, д.24, стр.4; ; ; ;Россия, Москва, Товарищеский переулок, 24с4;12410;37.665586;55.743355;1529;0.000965;37.664809;55.743927
4956;Москва, Товарищеский пер, д.24, стр.7; ; ; ;Россия, Москва, Товарищеский переулок, 24с4;12411;37.665586;55.743355;1529;0.000965;37.664809;55.743927
4957;Москва, Товарищеский пер, д.25, стр.1; ; ; ;Россия, Москва, Товарищеский переулок, 25с1;12412;37.66618;55.744018;1529;0.001374;37.664809;55.743927
4958;Москва, Товарищеский пер, д.25, стр.2; ; ; ;Россия, Москва, Товарищеский переулок, 25с2;12413;37.665659;55.744003;1529;0.000853;37.664809;55.743927
4959;Москва, Товарищеский пер, д.27, стр.1; ; ; ;Россия, Москва, Товарищеский переулок, 27с1;12414;37.666728;55.744357;1529;0.001966;37.664809;55.743927
