"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
3554;"Москва, Воронцово Поле ул, д.3, стр.2";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с1";11009;37,649929;55,753305;2049;0,002398;37,650765;55,751058
3555;"Москва, Воронцово Поле ул, д.3, стр.3";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с1";11010;37,649929;55,753305;2049;0,002398;37,650765;55,751058
3556;"Москва, Воронцово Поле ул, д.3, стр.6";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с6";11011;37,649533;55,753756;2049;0,002966;37,650765;55,751058
3557;"Москва, Воронцово Поле ул, д.3, стр.8";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с8";11012;37,650702;55,753296;2049;0,002238;37,650765;55,751058
3558;"Москва, Воронцово Поле ул, д.3, стр.9";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с9";11013;37,649759;55,753776;2049;0,002899;37,650765;55,751058
3559;"Москва, Воронцово Поле ул, д.5";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 5";11014;37,652104;55,753691;2049;0,002953;37,650765;55,751058
3560;"Москва, Воронцово Поле ул, д.5-7, стр.8";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 5-7с8";11015;37,652660;55,754085;1574;0,002826;37,655479;55,753869
3561;"Москва, Воронцово Поле ул, д.5/7, стр.2";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 5/7с2";11016;37,652436;55,754374;1574;0,003084;37,655479;55,753869
3562;"Москва, Воронцово Поле ул, д.5А";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 5а";11017;37,651376;55,753630;2049;0,002643;37,650765;55,751058
3563;"Москва, Воронцово Поле ул, д.7";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 7";11018;37,652713;55,753742;1574;0,002767;37,655479;55,753869
3564;"Москва, Воронцово Поле ул, д.9, стр.2";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 9с2";11019;37,652965;55,754345;1574;0,002557;37,655479;55,753869
3565;"Москва, Девяткин пер, д.2";" ";" ";" ";"Россия, Москва, Девяткин переулок, 2";11020;37,638584;55,759389;870;0,001786;37,640365;55,759526
3566;"Москва, Девяткин пер, д.4";" ";" ";" ";"Россия, Москва, Девяткин переулок, 4";11021;37,638997;55,759127;870;0,001424;37,640365;55,759526
3567;"Москва, Дурасовский пер, д.3, стр.1";" ";" ";" ";"Россия, Москва, Дурасовский переулок, 3с1";11022;37,649713;55,754993;1512;0,003299;37,646419;55,754821
3568;"Москва, Дурасовский пер, д.5, стр.1";" ";" ";" ";"Россия, Москва, Дурасовский переулок, 5с1";11023;37,649939;55,754607;1512;0,003526;37,646419;55,754821
3569;"Москва, Дурасовский пер, д.9";" ";" ";" ";"Россия, Москва, Дурасовский переулок, 9";11024;37,651195;55,754744;2049;0,003712;37,650765;55,751058
3570;"Москва, Забелина ул, д.5, стр.2";" ";" ";" ";"Россия, Москва, улица Забелина, 5с2";11025;37,637559;55,755722;328;0,003398;37,637364;55,752330
