"ID","WALKING_DURATION","WALKING_DISTANCE"
"878","709","923"
"879","848","1141"
"880","803","1053"
"881","969","1290"
"882","1014","1347"
"883","996","1324"
"884","878","1169"
"885","869","1158"
"886","1064","1410"
"887","1008","1336"
"888","937","1245"
"889","558","745"
"890","520","701"
"891","878","1174"
"892","876","1173"
"893","527","703"
"894","679","902"
"895","472","634"
"896","929","1250"
"897","890","1194"
"898","931","1252"
"899","975","1312"
"900","699","929"
"901","788","1054"
"902","704","942"
"903","1266","1712"
"904","1244","1682"
"905","1221","1651"
"906","1089","1474"
"907","1039","1396"
"908","1199","1619"
"909","992","1330"
"910","1202","1609"
"911","1189","1588"
"912","1190","1590"
"913","1404","1905"
"914","875","1182"
"915","866","1166"
"916","815","1095"
"917","799","1074"
"918","966","1292"
"919","951","1263"
"920","755","1017"
"921","1305","1765"
"922","896","1203"
"923","855","1135"
"924","1347","1819"
"925","784","1038"
"926","863","1137"
"927","818","1061"
"928","835","1104"
"929","930","1226"
"930","1159","1547"
"931","1197","1602"
"932","1232","1654"
"933","1268","1704"
"934","1201","1623"
"935","1145","1548"
"936","1150","1553"
"937","885","1157"
"938","931","1221"
"939","947","1242"
"940","993","1304"
"941","1086","1431"
"942","1317","1763"
"943","1386","1848"
"944","1303","1732"
"945","1304","1733"
"946","1277","1700"
"947","1167","1560"
"948","1166","1558"
"949","1298","1751"
"950","1388","1869"
"951","1482","1984"
"952","1482","1983"
"953","1396","1863"
"954","1361","1816"
"955","1262","1685"
"956","1262","1685"
"957","1148","1553"
"958","1246","1682"
"959","1136","1539"
"960","295","391"
"961","399","531"
"962","446","601"
"963","214","293"
"964","156","216"
"965","456","610"
"966","212","284"
"967","259","346"
"968","287","386"
"969","514","697"
"970","190","249"
"971","197","263"
"972","318","423"
"973","86","117"
"974","699","937"
"975","414","550"
"976","414","550"
"977","390","515"
"978","926","1229"
"979","465","615"
"980","964","1262"
"981","599","791"
"982","663","866"
"983","1035","1355"
"984","713","947"
"985","768","1015"
"986","772","1020"
"987","401","580"
"988","874","1145"
"989","1034","1351"
"990","1026","1340"
"991","1077","1409"
"992","136","182"
"993","114","157"
"994","838","1142"
"995","833","1138"
"996","834","1132"
"997","769","1039"
"998","685","930"
"999","907","1251"
"1000","953","1337"
"1001","704","1001"
"1002","660","943"
"1003","652","932"
"1004","684","967"
"1005","981","1374"
"1006","631","892"
"1007","576","807"
"1008","745","1057"
"1009","785","1116"
"1010","580","820"
"1011","526","748"
"1012","801","1139"
"1013","732","1048"
"1014","64","100"
"1015","83","116"
"1016","256","344"
"1017","269","376"
"1018","261","349"
"1019","367","494"
"1020","386","520"
"1021","413","556"
"1022","440","592"
"1023","67","93"
"1024","569","766"
"1025","547","738"
"1026","591","801"
"1027","736","977"
"1028","664","895"
"1029","553","742"
"1030","879","1165"
"1031","964","1278"
"1032","721","946"
"1033","814","1055"
"1034","962","1269"
"1035","962","1269"
"1036","985","1299"
"1037","48","60"
"1038","1050","1470"
"1039","1029","1442"
"1040","926","1278"
"1041","907","1237"
"1042","860","1175"
"1043","832","1136"
"1044","868","1182"
"1045","914","1241"
"1046","873","1183"
"1047","867","1166"
"1048","908","1215"
"1049","988","1325"
"1050","991","1326"
"1051","1048","1414"
"1052","1030","1387"
"1053","1126","1529"
"1054","1147","1558"
"1055","1409","1903"
"1056","1476","1989"
"1057","1522","2054"
"1058","1653","2230"
"1059","1641","2208"
"1060","1670","2248"
"1061","719","1048"
"1062","1040","1419"
"1063","843","1202"
"1064","830","1185"
"1065","818","1167"
"1066","1045","1423"
"1067","782","1115"
"1068","819","1163"
"1069","758","1073"
"1070","790","1119"
"1071","786","1098"
"1072","775","1083"
"1073","746","1034"
"1074","814","1134"
"1075","842","1167"
"1076","792","1094"
"1077","833","1151"
"1078","871","1204"
"1079","863","1243"
"1080","890","1273"
"1081","1085","1535"
"1082","916","1307"
"1083","896","1280"
"1084","1010","1433"
"1085","1091","1535"
"1086","1042","1463"
"1087","1035","1452"
"1088","876","1248"
"1089","835","1189"
"1090","833","1187"
"1091","796","1134"
"1092","1026","1375"
"1093","1059","1423"
"1094","1092","1451"
"1095","1127","1497"
"1096","962","1292"
"1097","915","1234"
"1098","1091","1458"
"1099","1013","1348"
"1100","1126","1503"
"1101","1025","1362"
"1102","1201","1597"
"1103","1079","1434"
"1104","1201","1598"
"1105","796","1063"
"1106","925","1241"
"1107","918","1231"
"1108","1002","1348"
"1109","1037","1396"
"1110","940","1260"
"1111","1099","1487"
"1112","1151","1556"
"1113","1092","1477"
"1114","869","1161"
"1115","1199","1621"
"1116","1323","1784"
"1117","1230","1660"
"1118","1291","1744"
"1119","800","1070"
"1120","1309","1751"
"1121","1414","1892"
"1122","1482","1986"
"1123","1540","2068"
"1124","1451","1943"
"1125","1675","2255"
"1126","1552","2084"
"1127","784","1048"
"1128","881","1186"
"1129","919","1232"
