"ID","DRIVING_DURATION","DRIVING_DISTANCE"
"709","664","5148"
"710","669","5179"
"711","646","5267"
"712","623","5164"
"713","628","5178"
"714","630","4987"
"715","635","5154"
"716","632","4988"
"717","654","5258"
"718","634","5209"
"719","658","5380"
"720","875","7076"
"721","643","5247"
"722","624","5172"
"723","884","7157"
"724","873","6873"
"725","904","7261"
"726","803","6761"
"727","796","6764"
"728","778","6625"
"729","766","6547"
"730","760","6374"
"731","757","6327"
"732","785","6650"
"733","847","6972"
"734","845","6959"
"735","754","6405"
"736","761","6494"
"737","746","6311"
"738","780","6522"
"739","792","6597"
"740","772","6358"
"741","809","6908"
"742","833","7038"
"743","841","6991"
"744","849","7103"
"745","797","6635"
"746","830","6912"
"747","796","6628"
"748","831","6913"
"749","857","6746"
"750","868","6885"
"751","843","6697"
"752","823","6620"
"753","878","6882"
"754","847","6775"
"755","856","6848"
"756","823","6627"
"757","822","6560"
"758","758","6307"
"759","754","6251"
"760","792","6402"
"761","789","6423"
"762","791","6300"
"763","799","6599"
"764","883","7114"
"765","848","6821"
"766","836","6906"
"767","842","6684"
"768","829","6631"
"769","818","6489"
"770","757","6194"
"771","750","6126"
"772","794","6357"
"773","769","6275"
"774","771","6286"
"775","747","6138"
"776","715","5833"
"777","748","6078"
"778","698","5631"
"779","687","5585"
"780","716","5903"
"781","714","5886"
"782","681","5529"
"783","675","5523"
"784","703","5644"
"785","697","5586"
"786","684","5538"
"787","740","5970"
"788","656","5409"
"789","701","5800"
"790","643","5317"
"791","642","5191"
"792","664","5351"
"793","693","5600"
"794","621","5087"
"795","635","5136"
"796","645","5192"
"797","677","5513"
"798","690","5575"
"799","687","5262"
"800","845","6824"
"801","854","6865"
"802","837","6784"
"803","662","5441"
"804","682","5515"
"805","634","5248"
"806","624","5146"
"807","626","5113"
"808","588","4831"
"809","601","4883"
"810","614","4933"
"811","627","5181"
"812","633","5198"
"813","652","5274"
"814","655","5287"
"815","647","5138"
"816","637","5102"
"817","610","4936"
"818","632","5009"
"819","843","6759"
"820","612","4850"
"821","618","4873"
"822","581","4725"
"823","590","4751"
"824","607","4813"
"825","614","4840"
"826","828","6704"
"827","830","6624"
"828","797","6402"
"829","798","6500"
"830","800","6505"
"831","816","6564"
"832","793","6383"
"833","781","6223"
"834","800","6429"
"835","791","6376"
"836","825","6515"
"837","758","6175"
"838","783","6316"
"839","765","6215"
"840","773","6250"
"841","789","6352"
"842","780","6285"
"843","767","6311"
"844","779","6043"
"845","758","5959"
"846","759","6158"
"847","755","6183"
"848","771","5986"
"849","764","5949"
"850","825","6515"
"851","831","6681"
"852","814","6466"
"853","822","6646"
"854","810","6451"
"855","812","6545"
"856","800","6405"
"857","722","5815"
"858","722","5748"
"859","710","5767"
"860","715","5791"
"861","684","5355"
"862","662","5283"
"863","669","5395"
"864","811","6469"
"865","815","6461"
"866","809","6329"
"867","786","6270"
"868","806","6334"
"869","655","5193"
"870","667","5248"
"871","652","5190"
"872","671","5270"
"873","666","5162"
"874","651","5098"
"875","669","5174"
"876","677","5150"
"877","654","5118"
"878","675","5162"
"879","786","6344"
"880","681","5744"
"881","616","4666"
"882","630","4727"
"883","637","4750"
"884","650","4817"
"885","653","4832"
"886","615","4663"
"887","616","4637"
"888","636","4726"
"889","722","5879"
"890","750","5947"
"891","784","6301"
"892","764","6054"
"893","723","5791"
"894","744","5908"
"895","714","5753"
"896","781","6131"
"897","758","5953"
"898","747","5917"
"899","761","5935"
"900","749","5935"
"901","714","5661"
"902","731","5705"
"903","796","6200"
"904","801","6230"
"905","808","6261"
"906","750","5899"
"907","726","5806"
"908","765","6278"
"909","733","5812"
"910","760","6096"
"911","755","6075"
"912","759","6110"
"913","797","6235"
"914","695","5591"
"915","707","5631"
"916","705","5625"
"917","689","5545"
"918","731","5606"
"919","725","5605"
"920","651","5333"
"921","797","6208"
"922","727","5580"
"923","693","5450"
"924","779","6149"
"925","684","5233"
"926","631","4967"
"927","652","4914"
"928","648","5097"
"929","626","4833"
"930","602","4439"
"931","590","4388"
"932","579","4336"
"933","569","4287"
"934","761","6060"
"935","773","6152"
"936","791","6220"
"937","627","4898"
"938","635","4938"
"939","610","4813"
"940","619","4854"
"941","638","4930"
"942","557","4306"
"943","552","4099"
"944","590","4261"
"945","590","4260"
"946","591","4278"
"947","620","4419"
"948","621","4420"
"949","762","6081"
"950","781","6212"
"951","544","4078"
"952","543","4077"
"953","570","4183"
"954","586","4249"
"955","613","4381"
"956","613","4381"
"957","763","6104"
"958","748","6012"
"959","744","6002"
"960","699","5637"
"961","691","5534"
"962","710","5581"
"963","721","5986"
"964","751","6184"
"965","688","5458"
"966","718","5976"
"967","717","5720"
"968","724","5759"
"969","683","5446"
"970","708","5857"
"971","709","5692"
"972","702","5647"
"973","742","6018"
"974","653","5204"
"975","702","5594"
"976","702","5593"
"977","681","5508"
"978","681","5222"
"979","689","5351"
"980","658","5256"
"981","658","5292"
"982","666","5106"
"983","669","5349"
"984","631","5021"
"985","630","5017"
"986","631","4947"
"987","740","6240"
"988","651","5014"
"989","674","5345"
"990","672","5333"
"991","686","5194"
"992","714","5828"
"993","720","5893"
"994","894","7185"
"995","879","7200"
"996","866","7122"
"997","853","7029"
"998","829","6840"
"999","908","7267"
"1000","902","7388"
"1001","855","7107"
"1002","872","7090"
"1003","866","7079"
"1004","868","7091"
"1005","911","7424"
"1006","881","7166"
"1007","887","7267"
"1008","851","7199"
"1009","860","7258"
"1010","861","7113"
"1011","855","6995"
"1012","876","7280"
"1013","863","7190"
"1014","726","6180"
"1015","728","5960"
"1016","723","5935"
"1017","748","6078"
"1018","729","5940"
"1019","747","5893"
"1020","742","5867"
"1021","735","5831"
"1022","719","5790"
"1023","748","6062"
"1024","716","5767"
"1025","689","5567"
"1026","742","5757"
"1027","729","5756"
"1028","719","5668"
"1029","690","5572"
"1030","702","5479"
"1031","685","5519"
"1032","673","5696"
"1033","692","5273"
"1034","686","5513"
"1035","686","5513"
"1036","668","5502"
"1037","726","5896"
"1038","933","7584"
"1039","927","7527"
"1040","896","7329"
"1041","911","7393"
"1042","897","7212"
"1043","882","7164"
"1044","900","7171"
"1045","882","6973"
"1046","863","6909"
"1047","860","6781"
"1048","844","6722"
"1049","825","6534"
"1050","838","6599"
"1051","820","6510"
"1052","825","6537"
"1053","817","6864"
"1054","805","6835"
"1055","769","6432"
"1056","803","6315"
"1057","760","6308"
"1058","731","6106"
"1059","757","6160"
"1060","751","6158"
"1061","857","7484"
"1062","811","6778"
"1063","863","7373"
"1064","864","7291"
"1065","882","7438"
"1066","810","6782"
"1067","866","7177"
"1068","840","7142"
"1069","854","7135"
"1070","866","7194"
"1071","818","6828"
"1072","815","6813"
"1073","800","6728"
"1074","824","6864"
"1075","816","6664"
"1076","796","6591"
"1077","808","6648"
"1078","811","6503"
"1079","863","7463"
"1080","857","7353"
"1081","924","7587"
"1082","849","7316"
"1083","844","7275"
"1084","889","7782"
"1085","936","7646"
"1086","923","7514"
"1087","923","7516"
"1088","852","7285"
"1089","838","7167"
"1090","835","7112"
"1091","826","7059"
"1092","605","4641"
"1093","615","4689"
"1094","605","4603"
"1095","594","4556"
"1096","607","4660"
"1097","617","4717"
"1098","603","4590"
"1099","633","4708"
"1100","591","4546"
"1101","625","4693"
"1102","588","4452"
"1103","610","4620"
"1104","588","4452"
"1105","785","6418"
"1106","796","6352"
"1107","772","6244"
"1108","778","6230"
"1109","793","6278"
"1110","767","6211"
"1111","752","6039"
"1112","764","6108"
"1113","752","6068"
"1114","796","6408"
"1115","748","5998"
