OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
3849;Москва, Солнечногорский проезд, д.3, корп.1;44013;37.520015;55.859432;23;0.003105;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3850;Москва, Солнечногорский проезд, д.3, корп.3;44014;37.520868;55.859817;23;0.002321;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3851;Москва, Солнечногорский проезд, д.4;44015;37.518954;55.858982;23;0.004164;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3852;Москва, Солнечногорский проезд, д.5, корп.1;44016;37.521137;55.858978;23;0.00199;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3853;Москва, Солнечногорский проезд, д.5, корп.1, стр.2;44017;37.521937;55.858947;23;0.001206;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3854;Москва, Солнечногорский проезд, д.7;44018;37.523033;55.859028;23;0.00021;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3855;Москва, Солнечногорский проезд, д.9;44019;37.524175;55.859716;23;0.00117;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3856;Москва, Фестивальная ул, д.38;44020;37.507753;55.862069;78;0.002534;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3857;Москва, Фестивальная ул, д.40;44021;37.508462;55.862413;78;0.001829;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3858;Москва, Фестивальная ул, д.44;44022;37.510196;55.8631;78;0.000879;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3859;Москва, Фестивальная ул, д.46, корп.1;44023;37.512945;55.862675;78;0.0027;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3860;Москва, Фестивальная ул, д.46, корп.2;44024;37.512389;55.863283;78;0.002356;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3861;Москва, Фестивальная ул, д.46, корп.3;44025;37.512568;55.863585;78;0.002659;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3862;Москва, Фестивальная ул, д.48;44026;37.510556;55.863808;78;0.001605;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3863;Москва, Фестивальная ул, д.48, корп.2;44027;37.51202;55.864059;78;0.002526;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
