"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y"
122;"Москва, Бирюлёвская ул, д.31, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 31к3";237;37,669952;55,591985
123;"Москва, Бирюлёвская ул, д.32";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 32";238;37,662416;55,591893
124;"Москва, Бирюлёвская ул, д.5, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 5к1";239;37,664599;55,599671
125;"Москва, Бирюлёвская ул, д.5, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 5к2";240;37,667348;55,599864
126;"Москва, Донбасская ул, д.4";" ";" ";" ";"Россия, Москва, Донбасская улица, 4";241;37,657807;55,594265
127;"Москва, Донбасская ул, д.6";" ";" ";" ";"Россия, Москва, Донбасская улица, 6";242;37,659891;55,594213
128;"Москва, Касимовская ул, д.31, корп.2";" ";" ";" ";"Россия, Москва, Касимовская улица, 31к2";243;37,658113;55,593660
129;"Москва, Касимовская ул, д.33";" ";" ";" ";"Россия, Москва, Касимовская улица, 33";244;37,658536;55,592836
130;"Москва, Касимовская ул, д.35";" ";" ";" ";"Россия, Москва, Касимовская улица, 35";245;37,659523;55,592780
131;"Москва, Касимовская ул, д.37";" ";" ";" ";"Россия, Москва, Касимовская улица, 37";246;37,658850;55,592098
132;"Москва, Касимовская ул, д.39, корп.1";" ";" ";" ";"Россия, Москва, Касимовская улица, 39к1";247;37,659244;55,591630
133;"Москва, Касимовская ул, д.41";" ";" ";" ";"Россия, Москва, Касимовская улица, 41";248;37,661822;55,591299
134;"Москва, Липецкая ул, д.10, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 10к1";249;37,669880;55,598486
135;"Москва, Липецкая ул, д.10, корп.2";" ";" ";" ";"Россия, Москва, Липецкая улица, 10к2";250;37,670591;55,597901
136;"Москва, Липецкая ул, д.12, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 12к1";251;37,668758;55,598054
137;"Москва, Липецкая ул, д.12, корп.2";" ";" ";" ";"Россия, Москва, Липецкая улица, 12к2";252;37,667492;55,597952
138;"Москва, Липецкая ул, д.14, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 14к1";253;37,670411;55,596600
139;"Москва, Липецкая ул, д.16/14";" ";" ";" ";"Россия, Москва, Липецкая улица, 16/14";254;37,670708;55,595786
140;"Москва, Липецкая ул, д.18";" ";" ";" ";"Россия, Москва, Липецкая улица, 18";255;37,671346;55,595231
141;"Москва, Липецкая ул, д.2/16";" ";" ";" ";"Россия, Москва, Липецкая улица, 2/16";256;37,669342;55,601208
142;"Москва, Липецкая ул, д.20";" ";" ";" ";"Россия, Москва, Липецкая улица, 20";257;37,671058;55,593848
143;"Москва, Липецкая ул, д.22, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 22к1";258;37,671040;55,593207
144;"Москва, Липецкая ул, д.22, корп.2";" ";" ";" ";"Россия, Москва, Липецкая улица, 22к2";259;37,671974;55,592611
145;"Москва, Липецкая ул, д.24, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 24к1";260;37,669997;55,592845
146;"Москва, Липецкая ул, д.24, корп.2";" ";" ";" ";"Россия, Москва, Липецкая улица, 24к2";261;37,668713;55,592744
147;"Москва, Липецкая ул, д.26";" ";" ";" ";"Россия, Москва, Липецкая улица, 26";262;37,671749;55,591203
148;"Москва, Липецкая ул, д.28";" ";" ";" ";"Россия, Москва, Липецкая улица, 28";263;37,672333;55,590525
149;"Москва, Липецкая ул, д.30";" ";" ";" ";"Россия, Москва, Липецкая улица, 30";264;37,672782;55,590261
150;"Москва, Липецкая ул, д.4, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 4к1";265;37,669979;55,600530
151;"Москва, Липецкая ул, д.6, корп.1";" ";" ";" ";"Россия, Москва, Липецкая улица, 6к1";266;37,668120;55,600586
152;"Москва, Липецкая ул, д.6, корп.2";" ";" ";" ";"Россия, Москва, Липецкая улица, 6к2";267;37,666980;55,600505
153;"Москва, Липецкая ул, д.8";" ";" ";" ";"Россия, Москва, Липецкая улица, 8";268;37,669747;55,599279
154;"Москва, Педагогическая ул, д.10";" ";" ";" ";"Россия, Москва, Педагогическая улица, 10";269;37,669558;55,595378
155;"Москва, Педагогическая ул, д.4";" ";" ";" ";"Россия, Москва, Педагогическая улица, 4";270;37,665766;55,595079
156;"Москва, Педагогическая ул, д.6";" ";" ";" ";"Россия, Москва, Педагогическая улица, 6";271;37,666970;55,595176
157;"Москва, Педагогическая ул, д.8";" ";" ";" ";"Россия, Москва, Педагогическая улица, 8";272;37,668273;55,595277
158;"Москва, Элеваторная ул, д.14";" ";" ";" ";"Россия, Москва, Элеваторная улица, 14";273;37,666718;55,601151
159;"Москва, Бирюлёвская ул, д.44/6";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 44/6";274;37,664348;55,586389
160;"Москва, Лебедянская ул, д.4";" ";" ";" ";"Россия, Москва, Лебедянская улица, 4";310;37,662668;55,586146
161;"Москва, Бирюлёвская ул, д.37, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 37к1";332;37,665309;55,588648
162;"Москва, Бирюлёвская ул, д.37, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 37к2";333;37,666970;55,588709
163;"Москва, Бирюлёвская ул, д.37, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 37к3";334;37,667959;55,588653
