"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
112;"Москва, Покровка ул, д.22А, стр.12";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас12";133;133;133;577;37,648581;55,758929
113;"Москва, Покровка ул, д.22А, стр.12";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас12";133;396;133;1125;37,648581;55,758929
114;"Москва, Покровка ул, д.22А, стр.12";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас12";133;659;133;727;37,648581;55,758929
115;"Москва, Покровка ул, д.22А, стр.16";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас16";134;134;134;577;37,647989;55,758721
116;"Москва, Покровка ул, д.22А, стр.16";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас16";134;397;134;1125;37,647989;55,758721
117;"Москва, Покровка ул, д.22А, стр.16";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас16";134;660;134;727;37,647989;55,758721
118;"Москва, Покровка ул, д.22А, стр.18";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас18";135;135;135;577;37,649462;55,758797
119;"Москва, Покровка ул, д.22А, стр.18";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас18";135;398;135;1125;37,649462;55,758797
120;"Москва, Покровка ул, д.22А, стр.18";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас18";135;661;135;727;37,649462;55,758797
121;"Москва, Покровка ул, д.22А, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас2";136;136;136;577;37,648150;55,758827
122;"Москва, Покровка ул, д.22А, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас2";136;399;136;1125;37,648150;55,758827
123;"Москва, Покровка ул, д.22А, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас2";136;662;136;727;37,648150;55,758827
124;"Москва, Покровка ул, д.22А, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас4";137;137;137;577;37,648959;55,758772
125;"Москва, Покровка ул, д.22А, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас4";137;400;137;1125;37,648959;55,758772
126;"Москва, Покровка ул, д.22А, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас4";137;663;137;727;37,648959;55,758772
127;"Москва, Покровка ул, д.22А, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас5";138;138;138;577;37,649274;55,758979
128;"Москва, Покровка ул, д.22А, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас5";138;401;138;1125;37,649274;55,758979
129;"Москва, Покровка ул, д.22А, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас5";138;664;138;727;37,649274;55,758979
130;"Москва, Покровка ул, д.22А, стр.6";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас5";139;139;139;577;37,649274;55,758979
131;"Москва, Покровка ул, д.22А, стр.6";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас5";139;402;139;1125;37,649274;55,758979
132;"Москва, Покровка ул, д.22А, стр.6";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас5";139;665;139;727;37,649274;55,758979
133;"Москва, Покровка ул, д.22А, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас7";140;140;140;577;37,649327;55,758640
134;"Москва, Покровка ул, д.22А, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас7";140;403;140;1125;37,649327;55,758640
135;"Москва, Покровка ул, д.22А, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас7";140;666;140;727;37,649327;55,758640
136;"Москва, Покровка ул, д.22А, стр.8";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас8";141;141;141;577;37,649274;55,758472
137;"Москва, Покровка ул, д.22А, стр.8";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас8";141;404;141;1125;37,649274;55,758472
138;"Москва, Покровка ул, д.22А, стр.8";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас8";141;667;141;727;37,649274;55,758472
